ID,COD_BARRIO,BARRIO,links_barrio,COD_DISTRITO,DISTRITO,links_district,ESTADO,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,CODIGO_INTERNO,MODELO
515370,041,Recoletos,https://wikidata.org/entity/Q3814551,04,Salamanca,https://wikidata.org/entity/Q1773521,OPERATIVO,40.42458011,-3.69016003,PLAZA,COLON,4,28001,267213,50_LTS_EX
515371,041,Recoletos,https://wikidata.org/entity/Q3814551,04,Salamanca,https://wikidata.org/entity/Q1773521,OPERATIVO,40.42514009,-3.68803205,CALLE,SERRANO,34,28001,267214,50_LTS_EX
515378,041,Recoletos,https://wikidata.org/entity/Q3814551,04,Salamanca,https://wikidata.org/entity/Q1773521,OPERATIVO,40.42107016,-3.68707998,CALLE,CLAUDIO COELLO,6,28001,267221,50_LTS_EX
516318,171,"Villaverde Alto, Casco Histórico de Villaverde",https://wikidata.org/entity/Q390435,17,Villaverde,https://wikidata.org/entity/Q919536,OPERATIVO,40.34473014,-3.71099995,CALLE,TORTAJADA,4,28021,268232,50_LTS_EX
516596,174,Los Rosales,https://wikidata.org/entity/Q10319807,17,Villaverde,https://wikidata.org/entity/Q919536,OPERATIVO,40.35119112,-3.68654702,CALLE,JOSE DEL PINO,82,28021,268535,50_LTS_EX
516597,174,Los Rosales,https://wikidata.org/entity/Q10319807,17,Villaverde,https://wikidata.org/entity/Q919536,OPERATIVO,40.35172609,-3.68972598,CALLE,JUAN JOSE MARTINEZ SECO,38,28021,268536,50_LTS_EX
516601,182,Santa Eugenia,https://wikidata.org/entity/Q390463,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,OPERATIVO,40.38042613,-3.61042303,CALLE,PUENTELARRA,31,28031,268540,50_LTS_EX
516602,208,"Calle del Salvador, Madrid",https://wikidata.org/entity/Q38366642,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,OPERATIVO,40.43976015,-3.63195998,CALLE,TAMPICO,2,28027,268541,50_LTS_EX
516599,191,Casco Histórico de Vicálvaro,https://wikidata.org/entity/Q16544374,19,Vicálvaro,https://wikidata.org/entity/Q589403,OPERATIVO,40.40458311,-3.60047003,CALLE,HELENA DE TROYA,1,28032,268538,50_LTS_EX
516603,174,Los Rosales,https://wikidata.org/entity/Q10319807,17,Villaverde,https://wikidata.org/entity/Q919536,OPERATIVO,40.35514013,-3.69212001,CALLE,SAHARA,40,28041,268542,50_LTS_EX
516605,174,Los Rosales,https://wikidata.org/entity/Q10319807,17,Villaverde,https://wikidata.org/entity/Q919536,OPERATIVO,40.35434411,-3.68606803,CALLE,MARIA BARRIENTOS,13,28021,268544,50_LTS_EX
516606,208,"Calle del Salvador, Madrid",https://wikidata.org/entity/Q38366642,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,OPERATIVO,40.44192016,-3.63321005,CALLE,TAMPICO,20,28027,301445,50_LTS_EX
516320,123,San Fermín (Madrid),https://wikidata.org/entity/Q71758,12,Usera,https://wikidata.org/entity/Q953368,OPERATIVO,40.36724008,-3.68922899,CALLE,CORINDON,10,28041,268234,50_LTS_EX
516321,015,Universidad,https://wikidata.org/entity/Q10387767,01,Centro,https://wikidata.org/entity/Q1763376,OPERATIVO,40.42203016,-3.70172004,CALLE,VALVERDE,24,28004,268235,50_LTS_EX
516322,171,"Villaverde Alto, Casco Histórico de Villaverde",https://wikidata.org/entity/Q390435,17,Villaverde,https://wikidata.org/entity/Q919536,OPERATIVO,40.34504713,-3.71283598,CALLE,MARTINEZ SECO,52,28021,268236,50_LTS_EX
516324,015,Universidad,https://wikidata.org/entity/Q10387767,01,Centro,https://wikidata.org/entity/Q1763376,OPERATIVO,40.42184511,-3.70552395,CALLE,LUNA,8,28004,268238,50_LTS_EX
516327,192,Valdebernardo,https://wikidata.org/entity/Q43025212,19,Vicálvaro,https://wikidata.org/entity/Q589403,OPERATIVO,40.39603211,-3.60901596,CALLE,MINERVA,84,28032,268241,50_LTS_EX
516332,171,"Villaverde Alto, Casco Histórico de Villaverde",https://wikidata.org/entity/Q390435,17,Villaverde,https://wikidata.org/entity/Q919536,OPERATIVO,40.34267814,-3.70627703,CALLE,LENGUAS,3,28021,268248,50_LTS_EX
