ID,ID_ADRESS,DISTRITO ID,DISTRITO,BARRIO ID,BARRIO,TIPO DE VÍA,NOMBRE DE VÍA,NÚMERO,DOG_GAMES,"ESTADO,C,50"
5107681,5107681_adress,14,MORATALAZ,145,FONTARRON,CALLE,MANUEL MARIA ARRILLAGA,26,0,ACTIVO
5003458,5003458_adress,01,CENTRO,012,EMBAJADORES,CALLE,CASINO,3,0,ACTIVO
4998011,4998011_adress,03,RETIRO,032,ADELFAS,CALLE,CERRO NEGRO,14,0,ACTIVO
5148516,5148516_adress,03,RETIRO,031,PACIFICO,CALLE,COCHERAS,8,0,ACTIVO
5214741,5214741_adress,10,LATINA,104,ALUCHE,CALLE,LOS YEBENES,55,11,ACTIVO
5214761,5214761_adress,02,ARGANZUELA,024,LEGAZPI,AVENIDA,PLANETARIO,16,14,ACTIVO
5215845,5215845_adress,04,SALAMANCA,043,FUENTE DEL BERRO,CALLE,SANCHO DAVILA,15,6,ACTIVO
5003417,5003417_adress,07,CHAMBERI,072,ARAPILES,CALLE,GALILEO,35,6,ACTIVO
5235589,5235589_adress,13,PUENTE DE VALLECAS,133,PALOMERAS BAJAS,CALLE,PUERTO DE COSTABONA,9,0,ACTIVO
5241144,5241144_adress,14,MORATALAZ,143,MARROQUINA,AVENIDA,Avenida del Doctor Garcia Tapia,125,0,ACTIVO
5003497,5003497_adress,06,TETUAN,063,CASTILLEJOS,AVENIDA,BRASIL,40,1,ACTIVO
5003407,5003407_adress,07,CHAMBERI,075,RIOS ROSAS,CALLE,FERNANDEZ DE LA HOZ,53,5,ACTIVO
8781349,8781349_adress,15,CIUDAD LINEAL,152,PUEBLO NUEVO,CALLE,EZEQUIEL SOLANA,46,3,ACTIVO
4998023,4998023_adress,10,LATINA,102,PUERTA DEL ANGEL,CALLE,CARAMUEL,58,0,OPERATIVO
4996526,4996526_adress,12,USERA,126,ZOFIO,AVENIDA,RAFAELA YBARRA,33,0,OPERATIVO
5003681,5003681_adress,06,TETUAN,064,ALMENARA,CALLE,SINESIO DELGADO,7,1,OPERATIVO
3570073,3570073_adress,15,CIUDAD LINEAL,159,COSTILLARES,CALLE,GOLFO DE SALONICA,11,1,OPERATIVO
3575536,3575536_adress,16,HORTALEZA,162,PIOVERA,CALLE,FLORENCIO CASTILLO,38,2,OPERATIVO
4996498,4996498_adress,12,USERA,121,ORCASITAS,RONDA,COOPERATIVAS,2,0,OPERATIVO
