_id,id,device_id,record_oid,count_start_date,Day_start,Month_start,Year_start,count_end_date,Day_end,Month_end,Year_end,average_daily_car_traffic,counter_number,counter_type,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
897,1042370979,355,310905035,2021-02-04T00:00:00Z,04,02,2021,2021-02-12T00:00:00Z,12,02,2021,7117,5,StatTrak,25,,32,89,37,40,-79.92106574,40.44621903,Point Breeze,8,14,42003140400,3,14,4,2-17
898,721409644,356,1474777154,2021-02-04T00:00:00Z,04,02,2021,2021-02-12T00:00:00Z,12,02,2021,7802,6,StatTrak,25,,29,76,33,37,-79.91975782,40.44084469,Squirrel Hill North,8,14,42003140300,3,14,4,2-18
991,1224179419,369,1109192446,2021-03-12T00:00:00Z,12,03,2021,2021-03-22T00:00:00Z,22,03,2021,793,1,StatTrak,25,56,25,49,31,34,-80.01839397,40.46885302,Perry South,6,26,42003261500,1,26,1,1-12
992,1525753837,370,1214724225,2021-03-12T00:00:00Z,12,03,2021,2021-03-22T00:00:00Z,22,03,2021,157,2,StatTrak,25,31,18,2,22,24,-80.0107899,40.46497006,Perry South,6,25,42003261400,1,25,1,1-10
1057,1335069399,374,540091931,2021-03-24T00:00:00Z,24,03,2021,2021-04-01T00:00:00Z,01,04,2021,2320,1,StatTrak,25,56,26,58,30,33,-79.92633385,40.4873215,Morningside,7,10,42003101400,2,10,5,3-7
1058,647944396,375,1963389764,2021-03-24T00:00:00Z,24,03,2021,2021-04-01T00:00:00Z,01,04,2021,462,2,StatTrak,25,42,21,12,25,28,-79.92517128,40.48584856,Morningside,7,10,42003101400,2,10,5,3-7
1059,682438710,376,1777671555,2021-03-24T00:00:00Z,24,03,2021,2021-04-01T00:00:00Z,01,04,2021,2170,3,StatTrak,25,66,25,46,30,33,-79.92517061,40.48705928,Morningside,7,10,42003101400,2,10,5,3-7
1060,2070723283,377,1671464686,2021-03-24T00:00:00Z,24,03,2021,2021-04-01T00:00:00Z,01,04,2021,3885,4,StatTrak,25,65,32,92,37,40,-79.923427,40.48774467,Morningside,7,10,42003101400,2,10,5,3-7
1061,490978388,378,149938512,2021-03-24T00:00:00Z,24,03,2021,2021-04-01T00:00:00Z,01,04,2021,396,5,StatTrak,15,48,25,50,30,33,-79.93950986,40.40419507,Hazelwood,5,15,42003562300,3,15,4,2-13
1090,552643712,380,122880372,2021-04-05T00:00:00Z,05,04,2021,2021-04-14T00:00:00Z,14,04,2021,1352,1,StatTrak,25,48,26,55,31,34,-80.05547894,40.45365757,Sheraden,2,20,42003202200,5,20,6,1-16
1091,7634720,381,1512624332,2021-04-05T00:00:00Z,05,04,2021,2021-04-14T00:00:00Z,14,04,2021,2571,2,StatTrak,25,51,28,78,32,34,-80.06976556,40.4584772,Chartiers City,2,20,42003563000,5,20,6,1-16
1092,1759296050,382,461558164,2021-04-05T00:00:00Z,05,04,2021,2021-04-14T00:00:00Z,14,04,2021,1368,3,StatTrak,25,67,26,51,30,34,-80.02410933,40.45839718,Manchester,6,21,42003210700,1,21,1,1-8
1093,1590127600,383,924914303,2021-04-05T00:00:00Z,05,04,2021,2021-04-14T00:00:00Z,14,04,2021,222,4,StatTrak,25,59,20,18,27,30,-80.02647261,40.45688048,Manchester,6,21,42003210700,1,21,1,1-8
1094,1873460113,384,77483144,2021-04-05T00:00:00Z,05,04,2021,2021-04-14T00:00:00Z,14,04,2021,550,5,StatTrak,25,49,24,39,29,32,-80.02375201,40.4545818,Manchester,6,21,42003210700,1,21,1,1-8
1123,629581327,386,1850837930,2021-04-15T00:00:00Z,15,04,2021,2021-04-23T00:00:00Z,23,04,2021,4278,1,StatTrak,25,58,30,87,35,38,-79.92128895,40.43510017,Squirrel Hill South,5,14,42003140800,3,14,4,2-21
1124,572121094,387,111314139,2021-04-15T00:00:00Z,15,04,2021,2021-04-23T00:00:00Z,23,04,2021,3891,2,StatTrak,25,56,24,38,29,32,-79.92767797,40.43334851,Squirrel Hill South,5,14,42003141300,3,14,4,2-21
1125,1131825798,388,1554633502,2021-04-15T00:00:00Z,15,04,2021,2021-04-23T00:00:00Z,23,04,2021,1470,3,StatTrak,25,52,26,53,30,33,-79.92737622,40.43056167,Squirrel Hill South,5,14,42003141300,3,14,4,2-21
1126,1607615396,389,842389384,2021-04-15T00:00:00Z,15,04,2021,2021-04-23T00:00:00Z,23,04,2021,5422,4,StatTrak,25,68,34,97,39,42,-79.93164496,40.4335445,Squirrel Hill South,5,14,42003141300,3,14,4,2-21
1127,1972575753,390,2036218181,2021-04-15T00:00:00Z,15,04,2021,2021-04-23T00:00:00Z,23,04,2021,709,5,StatTrak,25,67,25,46,29,32,-79.92879377,40.43554114,Squirrel Hill South,5,14,42003141300,3,14,4,2-21
1156,710660947,391,1065696916,2021-04-28T00:00:00Z,28,04,2021,2021-05-06T00:00:00Z,06,05,2021,3834,1,StatTrak,25,75,25,47,30,33,-79.92831365,40.45769213,Shadyside,8,7,42003070500,2,7,4,3-11
1157,869990233,392,116450044,2021-04-28T00:00:00Z,28,04,2021,2021-05-06T00:00:00Z,06,05,2021,7572,2,StatTrak,25,81,23,24,27,29,-79.93530005,40.4533723,Shadyside,8,7,42003070300,2,7,4,3-22
1158,566900803,393,1170781399,2021-04-28T00:00:00Z,28,04,2021,2021-05-06T00:00:00Z,06,05,2021,3738,3,StatTrak,25,64,25,45,29,32,-79.94394699,40.45062781,Shadyside,8,7,42003070900,2,7,4,2-9
1189,578171830,394,1979412300,2021-04-28T00:00:00Z,28,04,2021,2021-05-06T00:00:00Z,06,05,2021,8025,4,StatTrak,25,62,26,59,31,35,-80.02505029,40.39493174,Brookline,4,19,42003191800,5,19,6,4-26
1190,1417086478,395,290367959,2021-04-28T00:00:00Z,28,04,2021,2021-05-06T00:00:00Z,06,05,2021,8498,5,StatTrak,25,74,30,89,34,37,-80.02114767,40.39911595,Brookline,4,19,42003191900,5,19,6,4-26
1191,1513188293,396,1486881228,2021-04-28T00:00:00Z,28,04,2021,2021-05-06T00:00:00Z,06,05,2021,7903,6,StatTrak,25,103,35,96,40,43,-80.01517188,40.40466808,Brookline,4,19,42003191700,5,19,6,4-26
1222,1807120511,397,459231747,2021-05-11T00:00:00Z,11,05,2021,2021-05-19T00:00:00Z,19,05,2021,2421,2,StatTrak,25,74,27,57,33,37,-79.89826109,40.4533888,Homewood South,9,13,42003130300,2,13,5,3-17
1223,351053814,398,87221602,2021-05-11T00:00:00Z,11,05,2021,2021-05-19T00:00:00Z,19,05,2021,1670,3,StatTrak,25,57,21,18,26,30,-79.89498603,40.46102413,Homewood North,9,13,42003130200,2,13,5,3-17
1225,603379701,400,1486294292,2021-05-11T00:00:00Z,11,05,2021,2021-05-19T00:00:00Z,19,05,2021,937,5,StatTrak,25,57,26,55,31,,-80.00480112,40.48540553,Summer Hill,1,26,42003261200,1,26,1,1-15
1226,504395374,401,1119323351,2021-05-11T00:00:00Z,11,05,2021,2021-05-19T00:00:00Z,19,05,2021,2523,6,StatTrak,25,25,24,39,29,,-79.99150951,40.46208233,Spring Hill-City View,1,24,42003262000,1,24,1,1-24
1321,434083600,408,1452803107,2021-06-03T00:00:00Z,03,06,2021,2021-06-11T00:00:00Z,11,06,2021,2465,6,StatTrak,25,67,27,61,33,38,-79.86962776,40.45418533,East Hills,9,13,42003130600,2,13,5,3-19
1322,758271465,409,175878135,2021-06-03T00:00:00Z,03,06,2021,2021-06-11T00:00:00Z,11,06,2021,654,5,StatTrak,25,58,23,31,28,31.65,-79.9083819,40.46278312,Larimer,9,12,42003120400,2,12,5,3-12
1324,1821807873,411,71269012,2021-06-03T00:00:00Z,03,06,2021,2021-06-11T00:00:00Z,11,06,2021,623,3,StatTrak,25,39,16,3,20,24,-79.92919551,40.45265715,Shadyside,8,7,42003070500,2,7,4,3-11
1325,284761113,412,1486633590,2021-06-03T00:00:00Z,03,06,2021,2021-06-11T00:00:00Z,11,06,2021,2585,2,StatTrak,25,57,23,28,27,30,-79.96551908,40.44081815,West Oakland,6,4,42003040200,3,4,4,2-10
1326,95491588,413,1333913708,2021-06-03T00:00:00Z,03,06,2021,2021-06-11T00:00:00Z,11,06,2021,3621,1,StatTrak,25,63,28,70,32,36,-79.99759863,40.42470702,Mount Washington,3,18,42003180700,5,18,3,4-5
1355,442888756,415,1668923437,2021-06-15T00:00:00Z,15,06,2021,2021-06-23T00:00:00Z,23,06,2021,1817,6,StatTrak,25,59,23,25,27,30,-79.9804392,40.42437344,South Side Slopes,3,17,42003170600,3,17,3,4-3
1361,5216219,421,1382452398,2021-06-29T00:00:00Z,29,06,2021,2021-07-07T00:00:00Z,07,07,2021,5605,7,StatTrak,25,75,29,77,33,36,-79.92671506,40.42595842,Greenfield,5,15,42003151700,3,15,4,2-15
1363,1671608614,423,1290715814,2021-06-15T00:00:00Z,15,06,2021,2021-06-23T00:00:00Z,23,06,2021,809,1,StatTrak,25,38,17,2,21,23,-80.01019315,40.45780138,Central Northside,6,25,42003250300,1,25,1,1-21
1388,1140544457,429,1023986428,2021-07-09T00:00:00Z,09,07,2021,2021-07-19T00:00:00Z,19,07,2021,910,2,StatTrak,25,51,23,29,28,30,-79.94042785,40.46103362,Bloomfield,7,8,42003080600,2,8,5,3-23
1389,742131013,430,1933384987,2021-07-09T00:00:00Z,09,07,2021,2021-07-19T00:00:00Z,19,07,2021,271,3,StatTrak,25,39,20,10,25,27,-79.95300464,40.46517311,Bloomfield,7,9,42003090300,2,9,5,3-6
1390,368912259,431,1965316306,2021-07-09T00:00:00Z,09,07,2021,2021-07-19T00:00:00Z,19,07,2021,3454,4,StatTrak,25,51,23,31,28,32,-79.95589338,40.46623117,Central Lawrenceville,7,9,42003090200,2,9,2,3-3
