ID,BARRIO,same_as_wikidata_barrio,DISTRITO,same_as_wikidata_distrito,ESTADO,CLASE-VIAL,NOMBRE-VIA,CODIGO-POSTAL,FECHA-INSTALACION,MODELO
60410,Valdefuentes,http://wikidata.org/entity/Q10388714,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"AURORA REDONDO, 4",28055,2021-09-15,MU-51
94491,Timón,http://wikidata.org/entity/Q10382570,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,CALLE,"TIMON, 20",28042,2021-09-23,MU-51
94498,Corralejos,http://wikidata.org/entity/Q10260772,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,AVENIDA,"PARTENON, 5",28042,2021-09-23,MU-51
94497,Corralejos,http://wikidata.org/entity/Q10260772,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,AVENIDA,"PARTENON, 5",28042,2023-09-20,MU-51
94505,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"GUADALAJARA, 4",28032,2021-09-17,MU-51
94506,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"GUADALAJARA, 4",28032,2023-09-20,MU-51
94482,Alameda de Osuna,http://wikidata.org/entity/Q760737,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,CALLE,"RIAÑO, 9",28042,2021-09-29,MU-51
94510,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"AQUITANIA, 7",28032,2021-09-01,MU-51
94513,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"AQUITANIA, 7",28032,2021-09-08,MU-51
94520,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"ARCOS DE JALON, 22",28037,2020-09-23,MU-51
94516,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"ARCOS DE JALON, 11",28037,2021-09-07,MU-51
94528,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"CONSERVEROS, 4",28037,2021-09-03,MU-51
63466,Rejas,http://wikidata.org/entity/Q10359029,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"ONCE, 7",28022,2022-08-23,MU-51
94541,Rosas,http://wikidata.org/entity/Q18880469,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"AUSTRIA, 16",28022,2021-09-30,MU-51
94550,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 129",28037,2019-02-04,MU-51
94553,Arcos,http://wikidata.org/entity/Q9627876,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"INSTITUCION LIBRE DE ENSEÑANZA, 129",28037,2020-09-23,MU-51
94536,EL SALVADOR,,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"LOPEZ DE ARANDA, 29",28027,2021-09-07,MU-51
