POSICION;MOTIVO;COMENTARIO;idelem;NOVEDAD;DISEÑO;DISTRITOS;BARRIO;TIPO;LONGITUD;N_ELEMENTOS;PROMOTOR;TEXTO
MENENDEZ PELAYO (DE ODONNELL A ALCALDE SAINZ DE BARANDA);CADENETAS;DE BOMBILLAS. SOLO EN LA ACERA DE LAS VIVIENDAS;133;NO; ;Retiro;Los Jerónimos;LINEAL;519;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
ORTEGA Y GASSET (Serrano-Príncipe de Vergara);CADENETAS; ;134;NO; ;Salamanca;Castellana;LINEAL;563;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
JORGE JUAN (DE VELAZQUEZ A NUÑEZ DE BALBOA);CADENETAS;CORDON DE BOMBILLAS;135;NO; ;Salamanca;Recoletos;LINEAL;180;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
ALCALÁ (GOYA - VENTAS);CADENETAS; ;136;NO; ;Salamanca;Goya;LINEAL;1295;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PLAZA DE MANUEL BECERRA;CADENETAS; ;137;NO; ;Salamanca;Goya;LINEAL;413;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
C CONDE DE PEÑALVER, ENTRE C GOYA Y C JOSE ORTEGA Y GASSET;CADENETAS;CORDONDES DE BOMBILLAS;138;NO; ;Salamanca;Goya;LINEAL;539;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PRÍNCIPE DE VERGARA. ENTRE LOPEZ DE HOYOS Y PLAZA DE CATALUÑA;CADENETAS;CORDONES DE BOMBILLAS;139;NO; ;Chamartín;El Viso;LINEAL;765;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
C ORENSE, ENTRE C RAIMUNDO FDEZ. VILLAVERE Y C GENERAL PERON;CADENETAS;CORDON DE BOMBILLAS;140;NO; ;Tetuán;Cuatro Caminos;LINEAL;631;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
SOR ANGELA DE LA CRUZ;CADENETAS;CORDON DE BOMBILLAS;141;NO; ;Tetuán;Castillejos;LINEAL;669;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
LOPE DE HARO, DE BRAVO MURILLO A FRANCOS RODRIGUEZ;CADENETAS; ;142;NO; ;Tetuán;Bellas Vistas;LINEAL;523;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
C POETA JOAN MARAGALL, ENTRE C GENERAL PERON Y C SOR ANGELA DE LA CRUZ;CADENETAS; CORDON DE BOMBILLAS;143;NO; ;Tetuán;Cuatro Caminos;LINEAL;741;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
ELOY GONZALO, ENTRE GLORIETA DE QUEVEDO E IGLESIA;CADENETAS;CORDON DE BOMBILLAS;144;NO; ;Chamberí;Trafalgar;LINEAL;412;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
GLORIETA DE QUEVEDO;CADENETAS;CORDON DE BOMBILLAS;145;NO; ;Chamberí;Trafalgar;LINEAL;133;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PLAZA DE ESPAÑA;CADENETAS; ;146;NO; ;Centro;Palacio;LINEAL;199;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
FERRAZ;CADENETAS; ;147;NO; ;Moncloa - Aravaca;Argüelles;LINEAL;615;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
MARQUES DE URQUIJO;CADENETAS;CORDONES DE BOMBILLAS;148;NO; ;Moncloa - Aravaca;Argüelles;LINEAL;481;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PASEO DE LA FLORIDA;CADENETAS;CORDON DE BOMBILLAS;149;NO; ;Moncloa - Aravaca;Casa de Campo;LINEAL;900;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
ANTONIO MACHADO;CADENETAS;CORDON DE BOMBILLAS;150;NO; ;Moncloa - Aravaca;Valdezarza;LINEAL;414;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
BAJA DE LA IGLESIA;CADENETAS;CORDON DE BOMBILLAS, EN LA ACERA DE LA IGLESIA;151;NO; ;Moncloa - Aravaca;Aravaca;LINEAL;101;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
AVENIDA DE LA GALAXIA;CADENETAS;CORDON DE BOMBILLAS;152;NO; ;Moncloa - Aravaca;Aravaca;LINEAL;76;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
CRUCE CARDENAL HERRERA ORIA;CADENETAS;CORDONES DE BOMBILLAS;153;NO; ;Fuencarral - El Pardo;Valverde;LINEAL;319;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
C NURIA, ENTRE ZONA COMERCIAL Y C PEÑA SIRIO;CADENETAS;CORDONES DE BOMBILLAS;154;NO; ;Fuencarral - El Pardo;Mirasierra;LINEAL;344;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PASEO DE EXTREMADURA;CADENETAS; ;155;NO; ;Latina;Puerta del Ángel;LINEAL;1245;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PLAZA DE LA EMPERATRIZ;CADENETAS; ;156;NO; ;Carabanchel;Buenavista;LINEAL;149;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
AVDA. DE LA PESETA;CADENETAS; ;157;NO; ;Carabanchel;Buenavista;LINEAL;1634;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
GLORIETA DE CÁDIZ;CADENETAS;CORDON DE BOMBILLAS;158;NO; ;Usera;Almendrales;LINEAL;134;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
C RAFAELA YBARRA, ENTRE C MARCELO USERA Y KIOSKO PARQUE;CADENETAS;CORDNO DE BOMBILLAS, EN  ACERA DEL PARQUE OLOF PALME;159;NO; ;Usera;Zofío;LINEAL;113;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
BULEVAR PEÑA GORBEA;CADENETAS; ;160;NO; ;Puente de Vallecas;San Diego;LINEAL;231;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
C FUENTE CARRANTONA, ENTRE C PAVONES Y C ENCOMIENDA DE PALACIOS;CADENETAS;CORDON DE BOMBILLAS, EN ACERA DE JMD MORATALAZ;161;NO; ;Moratalaz;Pavones;LINEAL;297;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
HACIENDA DE PAVONES, ENTRE PZ DEL ENCUENTRO Y C CORREGIDOR ALONSO DE TOBAR);CADENETAS;DE BOMBILLAS;162;NO; ;Moratalaz;Fontarrón;LINEAL;286;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
AVDA. DE MORATALAZ, ENTRE PZ DEL ENCUENTRO Y CAMINO DE LOS VINATEROS);CADENETAS;DE BOMBILLAS;163;NO; ;Moratalaz;Vinateros;LINEAL;461;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
AVDA. INST. LIBRE DE ENSEÑANZA, ENTRE C ALCALA Y C VITAL AZA;CADENETAS;CORDON DE BOMBILLAS, SOLO EN LA ACERA DE LA JUNTA MUNICIPAL;164;NO; ;Ciudad Lineal;Pueblo Nuevo;LINEAL;403;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
C ALCALA, ENTRE C ARTURO SORIA Y C GENERAL ARANAZ;CADENETAS;CORDON DE BOMBILLAS;165;NO; ;Ciudad Lineal;Pueblo Nuevo;LINEAL;235;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
C CALERUEGA, ENTRE C ARTURO SORIA Y C CONDADO DE TREVIÑO;CADENETAS;CORDON DE BOMBILLAS;166;NO; ;Ciudad Lineal;Costillares;LINEAL;541;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
CARRETERA DE CANILLAS;CADENETAS; ;167;NO; ;Hortaleza;Canillas;LINEAL;162;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PASEO ALBERTO , ENTRE PLAZA DE AGATA Y C ENCARNACION DEL PINO;CADENETAS; ;168;NO; ;Villaverde;Villaverde Alto - Casco Histórico de Villaverde;LINEAL;262;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PLAZA DE AGATA;CADENETAS; ;169;NO; ;Villaverde;Villaverde Alto - Casco Histórico de Villaverde;LINEAL;222;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
JMD VILLAVERDE;CADENETAS; ;170;NO; ;Villaverde;Villaverde Alto - Casco Histórico de Villaverde;LINEAL;67;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PZA DE LOS PINAZO;CADENETAS; ;171;NO; ;Villaverde;San Cristóbal;LINEAL;505;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PASEO FEDERICO GARCIA LORCA;CADENETAS; ;172;NO; ;Villa de Vallecas;Casco Histórico de Vallecas;LINEAL;339;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
C SAN CIPRIANO, ENTRE C PICO ARTILLEROS HASTA C JARDIN DE LA DUQUESA;CADENETAS;CORDON DE BOMBILLAS;173;NO; ;Vicálvaro;Casco histórico de Vicálvaro;LINEAL;404;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PLAZA DE DON ANTONIO DE ANDRES;CADENETAS;CORDON DE BOMBILLAS. JM DE DISTRTITO;174;NO; ;Vicálvaro;Casco histórico de Vicálvaro;LINEAL;175;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
FERMINA SEVILLANO;CADENETAS; ;175;NO; ;San Blas - Canillejas;Rejas;LINEAL;181;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PLAZA MAYOR DE CIUDAD PEGASO;CADENETAS; ;176;NO; ;San Blas - Canillejas;Rejas;LINEAL;142;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
NÉCTAR;CADENETAS; ;177;NO; ;San Blas - Canillejas;Canillejas;LINEAL;452;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
INVENTORES;CADENETAS; ;178;NO; ;San Blas - Canillejas;Hellín;LINEAL;54;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
C BOLTAÑA, ENTRE C CARTAGO Y C BARBASTRO;CADENETAS;CORDON DE BOMBILLAS, SOLO EN LA ACERA DE LOS ARBOLES;179;NO; ;San Blas - Canillejas;Canillejas;LINEAL;181;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
CALLE AMPOSTA;CADENETAS; ;180;NO; ;San Blas - Canillejas;Amposta;LINEAL;255;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
MEDINA DE POMAR;CADENETAS; ;181;NO; ;Barajas;Aeropuerto;LINEAL;142;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PLAZA DE LOS HERMANOS FALCO Y ALVAREZ DE TOLEDO;CADENETAS;CORDON DE BOMBILLAS;182;NO; ;Barajas;Casco Histórico de Barajas;LINEAL;217;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
PZA DEL NAVÍO;CADENETAS; ;183;NO; ;Barajas;Alameda de Osuna;LINEAL;99;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
AVDA LOGROÑO, ENTRE PLAZA DE LOS PAJARONES HASTA C ALGEMESI;CADENETAS;CORDON DE BOMBILLAS;184;NO; ;Barajas;Casco Histórico de Barajas;LINEAL;325;;AG OBRAS Y EQUIPAMIENTOS;CADENETAS DE 22 M CON 40 PORTALAMPARAS  DE TIPO BLANCA ESFÉRICA DE 1,5 W CADA UNA DE 15 LEDS CADA 0,5 METROS, POTENCIA POR CADENETA DE 60 W
GLORIETA DEL EMPERADOR CARLOS V;CEREZOS;9 CEREZOS, 6 COLOR PLATA Y 3 COLOR CHAMPAN;185;NO; ;Centro, Retiro;Los Jerónimos;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
GLÑORIETA RUIZ JIMENEZ;CEREZOS; ;187;NO; ;Centro, Chamberí;Universidad;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE ALONSO MARTINEZ;CEREZOS;3 CEREZOS, DOS PLATA Y UNO CHAMPAN, EN ISLETA CENTRAL;188;NO; ;Centro, Chamberí;Trafalgar;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE LA CORTES;CEREZOS;CONGRESO DE LOS DIPUTADOS - 3 CEREZOS;189;NO; ;Centro;Cortes;PUNTUAL;;3;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE LAVAPIES;CEREZOS;2 CEREZOS, COLOR PLATA Y CHAMPAN;191;NO; ;Centro;Embajadores;PUNTUAL;;2;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE LA REMONTA;CEREZOS; ;192;NO;;;;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE LEGAZPI;CEREZOS;3 CEREZOS, COLORES AZUL, PLATA Y CHAMPAN, EN ISLETA CENTRAL;193;NO; ;Arganzuela;Legazpi;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
MATADERO;CEREZOS;4 CEREZOS, COLOR 2 PLATA Y 2 CHAMPAN;194;NO; ;Arganzuela;Chopera;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
AV CIUDAD DE BARCELONA;CEREZOS;JM DE RETIRO;195;NO; ;Retiro;Pacífico;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
MONTALBAN;CEREZOS;PUERTA DEL AYUNTAMEINTO;196;NO; ;Retiro;Los Jerónimos;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PASEO MARQUES DE ZAFRA;CEREZOS; ;197;NO; ;Salamanca;Fuente del Berro;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
GLORIETA EMILIO CASTELAR;CEREZOS;3 CEREZOS, 2 COLOR AZUL Y 1 PLATA. EN ISLETA CENTRAL;198;NO; ;Salamanca, Chamberí;Almagro;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA MARQUES DE SALAMANACA;CEREZOS; ;199;NO; ;Salamanca;Castellana;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PRINCIPE DE VERGARA;CEREZOS; 2 CEREZOS. PLATA Y CHAMPAN. JUNTA MUNICIPAL DE CHAMARTIN;200;NO; ;Chamartín;Ciudad Jardín;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
GLORIETA DE LOPES DE HOYOS;CEREZOS;4 CEREZOS. 3 AZULES Y 1 CHAMPAN;201;NO; ;Chamartín;El Viso;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE CHAMBERI. JUNTA MUNICIPAL;CEREZOS;1 CEREZO. COLOR PLATA;203;NO; ;Chamberí;Almagro;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
GLORIETA DE RUBEN DARIO;CEREZOS; ;204;NO; ;Chamberí;Almagro;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
GLORIETA DE QUEVEDO;CEREZOS;3 CEREZOS AZULES,.EN ISLETA CENTRAL;205;NO; ;Chamberí;Trafalgar;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE MONCLOA;CEREZOS;JM DE MONCLOA-ARAVACA;206;NO; ;Moncloa - Aravaca;Argüelles;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
AV OSA MAYOR;CEREZOS;2 CEREZOS, COLOR PLATA Y CHAMPAN;207;NO; ;Moncloa - Aravaca;Aravaca;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DEL PARDO;CEREZOS; ;208;NO; ;Fuencarral - El Pardo;El Pardo;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
AV CAMINO DE SANTIAGO CON AV SANTO DOMINGO DE LA CALZADA, METRO LAS TABLAS;CEREZOS;DOS CEREZOS, COLOR PLATA;209;NO; ;Fuencarral - El Pardo;Valverde;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
AV AGUILAS 2;CEREZOS;JM DE LATINA;210;NO; ;Latina;Águilas;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA DE CARABANCHEL;CEREZOS; ;211;NO; ;Carabanchel;Puerta Bonita;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
OPORTO CON CAMINO VIEJO DE LEGANES;CEREZOS;2 CEREZOS, AZUL Y CHAMPAN;212;NO; ;Carabanchel;Puerta Bonita;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
GLORIETA DE MARQUES DE VADILLO;CEREZOS;2 CEREZOS, COLOR AZUL Y CHAMPAN;213;NO; ;Carabanchel;San Isidro;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
AV RAFAELA YBARRA;CEREZOS;2 CEREZOS. JM DE USERA;214;NO; ;Usera;Pradolongo;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
ACCESO PRINCIPAL AL HOSPITAL 12 DE OCTUBRE;CEREZOS;2 CEREZOS, COLOR PLATA Y CHAMPAN;215;NO; ;Usera;Orcasur;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
AVDA ALBUFERA CON AV BUENOS AIRES;CEREZOS;2 CEREZOS, COLOR PLATA Y CHAMPAN;216;NO; ;Puente de Vallecas;Portazgo;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
