POSICION;MOTIVO;COMENTARIO;idelem;NOVEDAD;DISEÑO;DISTRITOS;BARRIO;TIPO;LONGITUD;N_ELEMENTOS;PROMOTOR;TEXTO
GOYA. (DE SERRANO HASTA GENERAL DIAZ PORLIER);ARCOS COMPACTOS;GRAN GUIRNALADA EN LINEAS DE JOYERIA CLASICA;73;NO;JUAN DUYOS;Salamanca;Goya;LINEAL;889;;AG OBRAS Y EQUIPAMIENTOS;Gran guirnalda compuesta por coloridas bombillas led para la que se ha inspirado en las líneas de la joyería clásica y en la fuerza que transmiten las piedras preciosas.
VELAZQUEZ (DE ALCALA HASTA JOSE ORTEGA Y GASSET);ARCOS COMPACTOS;ESTRELLA DE BELEN;74;NO;BEN BUSCHE;Salamanca;Recoletos;LINEAL;999;;AG OBRAS Y EQUIPAMIENTOS;La secuencia de imágenes representa un viaje a la luna, consiste en 31 motivos luminosos distintos que, en su conjunto, funcionan como un folioscopio (cine de pulgar) a escala urbana y de 31 imágenes.
SERRANO. ENTRE JORGE JUAN Y PUERTA DE ALCALA;ARCOS COMPACTOS;CONJUNTO DE MODULOS TEMATICOS;75;NO;TERESA SAPEY;Salamanca;Recoletos;LINEAL;1338;;AG OBRAS Y EQUIPAMIENTOS;"Combinación de círculos de distintos colores. Las luces van variando, combinándose siete tipos diferentes de las mismas, y formando una secuencia de dibujos que permiten ser vistas desde ambos lados.
"
CJORGE JUAN, ENTRE C SERRANO Y C VELAZQUEZ;ARCOS COMPACTOS;PLANO LUMINOSO Y COLGANTES;76;SI;SAMANTHA VALLEJO NAGERA;Salamanca;Recoletos;LINEAL;321;;AG OBRAS Y EQUIPAMIENTOS;“Luz blanca cálida. Nada más. Para mí lo más sencillo es lo más bonito.”
NARVAEZ. (DE GOYA A DOCTOR CASTELO);ARCOS COMPACTOS;NEBLINA BLANCA;77;SI; ;Retiro, Salamanca;Ibiza;LINEAL;469;;AG OBRAS Y EQUIPAMIENTOS;PAÑOS BLANCOS DE 3 METROS DE ANCHO POR 1,5 METROS DE ALTURA, CON ILUMINACION POR MEDIO DE CORTINA LEDS DE 1.425 PUNTOS CON UNA POTENCIA DE 125 W
PUENTE DE VENTAS;MOTIVO NAVIDEÑO;TRES REYES MAGOS DE ORIENTE;78;NO; ;Salamanca, Ciudad Lineal;Guindalera;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PUENTE JUAN BRAVO;ARCOS COMPACTOS;ENSEÑA NACIONAL;79;NO;DM;Salamanca, Chamberí;Castellana;LINEAL;153;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PUENTE RAIMUNDO FERNÁNDEZ VILLAVERDE;ARCOS COMPACTOS;ENSEÑA NACIONAL;80;NO;DM;Chamartín, Tetuán, Chamberí;Ríos Rosas;LINEAL;176;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
LOPEZ DE HOYOS (DE CARTAGENA A ALFONSO XIII);ARCOS COMPACTOS;NUBES DE COLORES;81;NO; ;Chamartín;Ciudad Jardín;LINEAL;1008;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
PLAZA CUZCO;CADENETAS;HILOS LUMINOSOS VERTICALES;82;NO; ;Chamartín, Tetuán;Hispanoamérica;LINEAL;226;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
