ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,FECHA_INSTALACION,MODELO
60410,Aparcabicicletas,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,CALLE,AURORA REDONDO,4,28055,2021-09-15 00:00:00.0,MU-51
94491,Aparcabicicletas,214,TIMON,21,BARAJAS,OPERATIVO,CALLE,TIMON,20,28042,2021-09-23 00:00:00.0,MU-51
94498,Aparcabicicletas,215,CORRALEJOS,21,BARAJAS,OPERATIVO,AVENIDA,PARTENON,5,28042,2021-09-23 00:00:00.0,MU-51
94497,Aparcabicicletas,215,CORRALEJOS,21,BARAJAS,OPERATIVO,AVENIDA,PARTENON,5,28042,2023-09-20 00:00:00.0,MU-51
94505,Aparcabicicletas,204,ARCOS,20,SAN BLAS-CANILLEJAS,OPERATIVO,AVENIDA,GUADALAJARA,4,28032,2021-09-17 00:00:00.0,MU-51
94506,Aparcabicicletas,204,ARCOS,20,SAN BLAS-CANILLEJAS,OPERATIVO,AVENIDA,GUADALAJARA,4,28032,2023-09-20 00:00:00.0,MU-51
94482,Aparcabicicletas,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,CALLE,RIAÑO,9,28042,2021-09-29 00:00:00.0,MU-51
94510,Aparcabicicletas,204,ARCOS,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,AQUITANIA,7,28032,2021-09-01 00:00:00.0,MU-51
94513,Aparcabicicletas,204,ARCOS,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,AQUITANIA,7,28032,2021-09-08 00:00:00.0,MU-51
94520,Aparcabicicletas,204,ARCOS,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,ARCOS DE JALON,22,28037,2020-09-23 00:00:00.0,MU-51
94516,Aparcabicicletas,204,ARCOS,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,ARCOS DE JALON,11,28037,2021-09-07 00:00:00.0,MU-51
94528,Aparcabicicletas,204,ARCOS,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,CONSERVEROS,4,28037,2021-09-03 00:00:00.0,MU-51
63466,Aparcabicicletas,206,REJAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,ONCE,7,28022,2022-08-23 00:00:00.0,MU-51
94541,Aparcabicicletas,205,ROSAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,AUSTRIA,16,28022,2021-09-30 00:00:00.0,MU-51
94550,Aparcabicicletas,204,ARCOS,20,SAN BLAS-CANILLEJAS,OPERATIVO,AVENIDA,INSTITUCION LIBRE DE ENSEÑANZA,129,28037,2019-02-04 00:00:00.0,MU-51
94553,Aparcabicicletas,204,ARCOS,20,SAN BLAS-CANILLEJAS,OPERATIVO,AVENIDA,INSTITUCION LIBRE DE ENSEÑANZA,129,28037,2020-09-23 00:00:00.0,MU-51
94536,Aparcabicicletas,208,EL SALVADOR,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,LOPEZ DE ARANDA,29,28027,2021-09-07 00:00:00.0,MU-51
65239,Aparcabicicletas,215,CORRALEJOS,21,BARAJAS,OPERATIVO,CALLE,BAHIA DE POLLENSA,5,28042,2021-09-14 00:00:00.0,MU-51
71328,Aparcabicicletas,207,CANILLEJAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,BOLTAÑA,11,28022,2021-09-16 00:00:00.0,MU-51
72245,Aparcabicicletas,202,HELLIN,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,ARCOS DE JALON,59,28037,2021-09-21 00:00:00.0,MU-51
72888,Aparcabicicletas,203,AMPOSTA,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,ALBERIQUE,12,28037,2021-09-14 00:00:00.0,MU-51
72940,Aparcabicicletas,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,CALLE,BALANDRO,1,28042,2021-09-14 00:00:00.0,MU-51
72244,Aparcabicicletas,205,ROSAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,AVENIDA,NIZA,8,28022,2019-01-29 00:00:00.0,MU-51
