PK,NOMBRE,TIPO,EQUIPAMIENTO,TRANSPORTE,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,CODIGO-POSTAL,BARRIO,DISTRITO
4583138,Instalación Deportiva Municipal Básica Parque La Viña,Instalación Deportiva,1 Pista de baloncesto  1 Pista de  fútbol sala 2 Pistas de bolos y petanca 2 Pistas de tenis de mesa,"Bus: 24 , 102 , 111 , 144",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b91d2b9229db2110VgnVCM1000000b205a0aRCRD,"CONCEJO DE TEVERGA, 2",CALLE,28053,ENTREVIAS,PUENTE DE VALLECAS
4583318,Instalación Deportiva Municipal Básica Parque Luis Buñuel,Instalación Deportiva,1 Pista de baloncesto 1 Rocódromo,"Metro: Miguel HernándezBus: 10 , 54 , 57 , 58 , 103 , 142 , 143 , 144",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=30645c766bdb2110VgnVCM1000000b205a0aRCRD,"LUIS BUÑUEL, 12",CALLE,28018,PALOMERAS SURESTE,PUENTE DE VALLECAS
4584491,Instalación Deportiva Municipal Básica Parque Madrid Sur - La Diligencia,Instalación Deportiva,1 Pista de patinaje,"Bus: 10 , 57 , 136 , 144 , 310Renfe: Entrevías",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=40e37e060c2c2110VgnVCM1000000b205a0aRCRD,"LA DILIGENCIA, 5",CALLE,28018,PALOMERAS BAJAS,PUENTE DE VALLECAS
4541879,Instalación Deportiva Municipal Básica Parque Manoteras - Vélez Rubio,Instalación Deportiva,Pista polideportiva  2 Pistas de calva   1 Pista de patinaje  3 Tenis de mesa,"Metro: Manoteras. Bus: 7 , 29 , 129",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=aa51989c0d961110VgnVCM1000000b205a0aRCRD,"BACARES, 20",CALLE,28033,APOSTOL SANTIAGO,HORTALEZA
6284785,Instalación Deportiva Municipal Básica Parque Manuel Azaña,Instalación Deportiva,1 Pista baloncesto,"Metro: El Carmen , VentasBus: 12 , 21 , 38 , 48 , 53 , 74 , 106 , 110 , 146 , 210.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7154949a6cda4310VgnVCM2000000c205a0aRCRD,"JAZMIN, 51",CALLE,28027,CONCEPCION,CIUDAD LINEAL
4581044,Instalación Deportiva Municipal Básica Parque Marchamalo,Instalación Deportiva,1 Pista de bolos y petanca 1 Pista polideportiva,"Bus: 63 , 143 , 145",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0e72734f83b2110VgnVCM1000000b205a0aRCRD,"MARCHAMALO, 15",CALLE,28038,PORTAZGO,PUENTE DE VALLECAS
6348740,Instalación Deportiva Municipal Básica Parque Martala I,Instalación Deportiva,1 Pista fútbol-sala 2 Pistas baloncesto,"Metro: Artilleros. Bus: 30 , 32 , 71",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=982113a714606310VgnVCM1000000b205a0aRCRD,"PICO DE LOS ARTILLEROS, 5",CALLE,28030,MARROQUINA,MORATALAZ
4548485,Instalación Deportiva Municipal Básica Parque Martala II,Instalación Deportiva,1 Pista baloncesto,"Metro: Artilleros. Bus: 30 , 32 , 71",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a81483dbd6891110VgnVCM2000000c205a0aRCRD,"PICO DE LOS ARTILLEROS, 21",CALLE,28030,MARROQUINA,MORATALAZ
4556019,Instalación Deportiva Municipal Básica Parque Mujeres de Orcasitas,Instalación Deportiva,2 Pistas de baloncesto 2 Pistas de bolos y petanca  1 Pista de patinaje 2 Pistas polideportivas 4 Pistas de tenis de mesa,"Bus: 6 , 60 , 78 , 81 , 116 , 131",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d3362a9470e1110VgnVCM1000000b205a0aRCRD,"COOPERATIVAS, 6",RONDA,28041,ORCASITAS,USERA
6298598,Instalación Deportiva Municipal Básica Parque Norte,Instalación Deportiva,Pista de baloncesto,Metro: FuencarralBus: 176,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=aaad80a53df05310VgnVCM1000000b205a0aRCRD,"ARZOBISPO MORCILLO, 9",CALLE,28050,VALVERDE,FUENCARRAL-EL PARDO
4556557,Instalación Deportiva Municipal Básica Parque Olof Palme,Instalación Deportiva,1 Pista de bolos y petanca 1 Pista de skate,"Metro: Plaza ElípticaBus:  6 , 47 , 55 , 60 , 81 , 116 , 247.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=616c33d7305e1110VgnVCM1000000b205a0aRCRD,"CERECINOS, 4",CALLE,28026,ZOFIO,USERA
