PK,NOMBRE,EQUIPAMIENTO,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,TIPO
4542220,Instalación Deportiva Municipal Básica Plaza Colonia Oroquieta,1 Pista de baloncesto 1 Pista de patinaje,"Metro: Villaverde Bajo CruceBus: 22 , 59 , 79 , 85 , 123 , 130",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d1e400f058a61110VgnVCM1000000b205a0aRCRD,ANDALUCIA,CARRETERA,S/N,28041,4,LOS ROSALES,17,VILLAVERDE,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
6299567,Instalación Deportiva Municipal Básica Plaza Fonsagrada,1 Pista polideportiva,"Metro: FuencarralBus: 128, 132, 137, 49, 83",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=926caad6ac415310VgnVCM2000000c205a0aRCRD,FONSAGRADA,PLAZA,6,28029,4,EL PILAR,8,FUENCARRAL-EL PARDO,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
4557585,Instalación Deportiva Municipal Básica Plaza Munguía,1 Tenis de mesa,"Bus: 6 , 60 , 78 , 81 , 116 , 121 , 131",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=532d2cf657ae1110VgnVCM1000000b205a0aRCRD,MUNGUIA,PLAZA,1,28041,1,ORCASITAS,12,USERA,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
4555963,Instalación Deportiva Municipal Básica Plaza Vallandes,Pista de baloncesto Pista de bolos y petanca,"Metro: Usera. Bus: 23 , 55 , 60",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=73415c51350e1110VgnVCM1000000b205a0aRCRD,CALESAS,CALLE,4,28026,5,MOSCARDO,12,USERA,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
6299604,Instalación Deportiva Municipal Básica Plaza de Arteijo,2 Pistas de baloncesto,"Metro: FuencarralBus: 128, 132, 137, 49, 83",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9e81ce88d415310VgnVCM2000000c205a0aRCRD,ARTEIJO,PLAZA,10,28029,4,EL PILAR,8,FUENCARRAL-EL PARDO,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
4548967,Instalación Deportiva Municipal Básica Plaza de Bami - Benidorm,1 Pista de baloncesto,"Metro: El CarmenBus: 38 , 106 , 110 , 146 , 210",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=51f5dedbe1d91110VgnVCM1000000b205a0aRCRD,JOSE VILLENA,CALLE,,28017,1,VENTAS,15,CIUDAD LINEAL,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
10915713,Instalación Deportiva Municipal Básica Plaza de María Soledad Torres Acosta,1 Pista de street workout y parkour,"Bus: 25 , 31 , 33 , 36 , 39 , 41 , 50 , 65 , 138 , C",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6b973e641a099610VgnVCM1000001d4a900aRCRD,María Soledad Torres Acosta,PLAZA,,28005,1,PALACIO,1,CENTRO,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
4557484,Instalación Deportiva Municipal Básica Plaza de Sestao,1 Pista de patinaje,"Bus: 6 , 60 , 78 , 81 , 116 , 131",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d4dcfc5e5ae1110VgnVCM1000000b205a0aRCRD,SESTAO,PLAZA,1,28041,1,ORCASITAS,12,USERA,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje
4549875,Instalación Deportiva Municipal Básica Plaza de la Orotava,1 Pista de baloncesto. 1 Pista de fútbol sala,"Metro: García NoblejasBus: 4 , 28 , 38 , 48 , 70 , 105",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7c825e8f052a1110VgnVCM1000000b205a0aRCRD,LA OROTAVA,PLAZA,1,28017,2,PUEBLO NUEVO,15,CIUDAD LINEAL,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
10915708,Instalación Deportiva Municipal Básica Plaza del Campillo de Mundo Nuevo,1 Pista de patinaje 1 Pista de street workout,"Bus: 25 , 31 , 33 , 36 , 39 , 41 , 50 , 65 , 138 , C",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3e643e641a099610VgnVCM1000001d4a900aRCRD,Campillo del Mundo Nuevo,PLAZA,,28005,1,PALACIO,1,CENTRO,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
