PROVINCIA,SAME_AS_WIKIDATA_PROVINCIA,2020
Álava,https://www.wikidata.org/wiki/Q81801,73.7
Biscay,https://www.wikidata.org/wiki/Q93366,69.8
Gipuzkoa,https://www.wikidata.org/wiki/Q95010,74.3
