ID,CODE,MUNICIPIO,SAME_AS_WIKIDATA_MUNICIPIO,PROVINCIA,SAME_AS_WIKIDATA_PROVINCIA,2020
48012DP,48012,Bakio,https://www.wikidata.org/wiki/Q804466,Biscay,https://www.wikidata.org/wiki/Q93366,1.08
20904DP,20904,Baliarrain,https://www.wikidata.org/wiki/Q385872,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48090DP,48090,Balmaseda,https://www.wikidata.org/wiki/Q4480,Biscay,https://www.wikidata.org/wiki/Q93366,1.17
48013DP,48013,Barakaldo,https://www.wikidata.org/wiki/Q487801,Biscay,https://www.wikidata.org/wiki/Q93366,1.34
48014DP,48014,Barrika,https://www.wikidata.org/wiki/Q4481,Biscay,https://www.wikidata.org/wiki/Q93366,0
1013DP,1013,Barrundia,https://www.wikidata.org/wiki/Q961216,Álava,https://www.wikidata.org/wiki/Q81801,0
48015DP,48015,Basauri,https://www.wikidata.org/wiki/Q765496,Biscay,https://www.wikidata.org/wiki/Q93366,1.33
1011DP,1011,Baños de Ebro/Mañueta,https://www.wikidata.org/wiki/Q1382239,Álava,https://www.wikidata.org/wiki/Q81801,0
20019DP,20019,Beasain,https://www.wikidata.org/wiki/Q847130,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.08
48092DP,48092,Bedia,https://www.wikidata.org/wiki/Q1242425,Biscay,https://www.wikidata.org/wiki/Q93366,0
20020DP,20020,Beizama,https://www.wikidata.org/wiki/Q1625906,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20021DP,20021,Belauntza,https://www.wikidata.org/wiki/Q1639379,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48016DP,48016,Berango,https://www.wikidata.org/wiki/Q1242343,Biscay,https://www.wikidata.org/wiki/Q93366,0.67
1014DP,1014,Berantevilla,https://www.wikidata.org/wiki/Q1368868,Álava,https://www.wikidata.org/wiki/Q81801,0
20022DP,20022,Berastegi,https://www.wikidata.org/wiki/Q1639406,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20074DP,20074,Bergara,https://www.wikidata.org/wiki/Q1382252,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.42
