Indicadores municipales de sostenibilidad: Dotación policial local (? habitantes);;;;;;;;;;;;;
;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
01023;Elvillar/Bilar;0;0;0;0;0;0;0;0;0;2.78;2.84;2.84
48902;Erandio;1.42;1.46;1.62;1.51;1.28;1.38;1.59;1.46;1.44;1.2;1.21;1.21
48033;Ereño;0;0;0;0;0;0;0;0;0;7.58;7.75;7.66
48034;Ermua;1.28;1.6;0.82;0.81;0.87;1;1.12;1.12;1.11;1.3;0.92;0.93
20067;Errenteria;1.84;1.82;2.06;1.72;1.74;1.9;1.93;1.83;1.79;1.91;0.34;0.34
20066;Errezil;1.71;1.76;1.71;1.61;1.59;0;1.66;0;0;1.62;1.61;1.6
01046;Erriberagoitia/Ribera Alta;0;0;0;0;0;0;0;0;0;1.21;1.29;1.36
48079;Errigoiti;0;0;0;0;0;0;0;0;0;0;1.92;1.97
20034;Eskoriatza;0.48;0.48;0.48;0.49;0.49;0.49;0.49;0.49;0.49;0.49;0.25;0.25
48029;Etxebarri;1.43;1.46;1.91;1.22;0.97;1.64;1.57;1.59;1.61;1.45;1.41;1.48
48030;Etxebarria;0;0;0;0;0;0;0;0;0;1.33;1.31;1.22
20035;Ezkio-Itsaso;0;0;0;0;0;1.61;1.6;0;0;1.69;1.78;1.81
48906;Forua;0;0;0;0;0;0;0;0;0;0;1.02;1.05
48035;Fruiz;0;0;0;0;0;0;0;0;0;0;2.47;2.48
20038;Gabiria;0;0;0;0;0;0;0;0;0;0;0;0
20037;Gaintza;0;0;0;0;0;0;0;0;0;7.87;7.69;7.46
48036;Galdakao;0.99;0.99;1.19;1.22;1.4;1.3;1.23;1.19;1.17;1.2;1.17;1.17
48037;Galdames;0;0;0;0;0;0;0;0;0;0;0;0
48038;Gamiz-Fika;0;0;0;0;0;0;0;0;0;0;0.78;0.78
48039;Garai;0;0;0;0;0;0;0;0;0;0;0;0
48040;Gatika;0;0;0;0;0;0;0;0;0;0;0;0
48041;Gautegiz Arteaga;0;0;0;0;0;0;0;0;0;0;0;0
20907;Gaztelu;0;0;0;0;0;0;0;0;0;5.88;5.88;5.71
48046;Gernika-Lumo;1.25;1.32;1.19;1.13;0.9;1.08;1.27;1.27;1.2;0.99;0.75;0.75
20039;Getaria;0;0;0;0.71;0.7;0.72;0.73;0;0.75;0.75;0.78;0.8
48044;Getxo;1.39;1.4;1.51;1.35;1.43;1.44;1.54;1.47;1.53;1.48;1.74;1.73
48047;Gizaburuaga;0;0;0;0;0;0;0;0;0;0;0;0
48042;Gordexola;0;0;0;0;0;0;0;0;0;0;0;0
48043;Gorliz;1.15;1.15;0.99;1.01;1.03;1.77;1.77;1.77;1.79;1.28;1.33;1.36
48045;Güeñes;1.05;1.05;1.51;1.07;1.07;1.21;1.22;1.23;1.23;0.46;0.48;0.48
01056;Harana/Valle de Arana;0;0;0;0;0;0;0;0;0;0;0;0
20040;Hernani;1.26;1.56;1.6;1.34;1.6;1.45;1.56;1.51;1.52;1.09;1.1;1.11
20041;Hernialde;0;0;0;0;0;0;0;0;0;2.93;2.97;3.05
20036;Hondarribia;1.82;1.58;1.7;1.3;1.65;1.4;1.59;1.13;1.2;1.29;1.43;1.44
20042;Ibarra;0.73;0.73;0.72;0.46;0;0;0;0;0;0.23;0.24;0.24
48048;Ibarrangelu;0;0;0;0;0;0;0;0;0;0;0;0
20043;Idiazabal;0.43;0.43;0.43;0.42;0.42;0.43;0.43;0;0;0.44;0.46;0.46
48094;Igorre;0.48;0.47;0.47;0.47;0.48;0.49;0.48;0;0.48;0.48;0.49;0.5
20044;Ikaztegieta;0;0;0;0;0;0;0;0;0;2.17;2.22;2.25
20045;Irun;1.48;1.52;1.55;1.21;1.54;1.78;1.81;1.77;2.4;1.51;1.51;1.51
20046;Irura;0;0.54;0.54;0.55;0.55;0.57;0.6;0;0;0;0;0
01027;Iruraiz-Gauna;0;0;0;0;0;0;0;0;0;0;0;0
01901;Iruña Oka/Iruña de Oca;0.27;0.28;0.28;0.28;0.28;0.3;0.31;0;0;0.33;0.35;0.39
48049;Ispaster;0;0;0;0;0;0;0;0;0;0;0;0
20047;Itsasondo;0;0;0;0;0;0;0;0;0;1.53;1.62;1.68
48910;Iurreta;1.36;1.38;1.37;1.36;1.36;1.36;1.35;1.34;1.31;1.32;1.3;1.3
48050;Izurtza;4.13;4.44;3.94;3.48;3.46;0;0;0;0;3.69;3.79;4.03
48022;Karrantza Harana/Valle de Carranza;0.37;0.73;0.36;0.35;0.36;0.36;0.72;0.36;0.72;0.72;0.71;0.72
48907;Kortezubi;0;0;0;0;0;0;0;0;0;2.4;2.46;2.49
01019;Kripan;0;0;0;0;0;0;0;0;0;5.1;5.41;5.41
01020;Kuartango;0;0;0;0;0;0;0;0;0;0;0;0
01028;Labastida/Bastida;0;0;0;0;0;0;0;0;0;0;0;0
01030;Lagrán;0;0;0;0;0;0;0;0;0;5.56;0;0
01031;Laguardia;0.64;0.64;0.65;0.65;0.65;0.65;0.63;0.63;0.62;1.28;1.29;1.31
01032;Lanciego/Lantziego;0;0;0;0;0;0;0;0;0;2.82;1.44;1.43
48051;Lanestosa;0;0;0;0;0;0;0;0;0;0;0;0
01902;Lantarón;0;0;0;0;1.06;1.1;1.08;0;0;1.03;1.06;1.03
01033;Lapuebla de Labarca;0;0;0;0;0;0;0;0;0;1.15;0;0
48052;Larrabetzu;0;0;0;0;0;0;0;0;0;0;0;0
20048;Larraul;0;0;0;0;0;0;0;0;0;0;0;0
20902;Lasarte-Oria;0.92;1.03;1.09;1.05;1.43;1.24;1.19;1.19;1.19;1.05;1.08;1.09
01036;Laudio/Llodio;1.33;1.22;0.99;0.98;1.2;1.58;1.74;1.19;1.18;1.57;0.87;0.87
48053;Laukiz;0;0;0;0;0;0;0;0;0;0;0;0
20049;Lazkao;0.69;0.69;0.69;0.71;0.72;0.74;0.75;0.75;0.74;0.57;0.58;0.59
20050;Leaburu;2.61;2.69;2.72;2.65;2.75;2.78;2.75;0;0;2.57;2.63;2.66
20051;Legazpi;1.21;1.45;1.08;1.07;1.07;1.07;1.18;1.05;1.05;0.81;0.81;0.82
20052;Legorreta;0;0;0;0;0;0;0;0;0;0;0;0
01058;Legutio;0;0;0;0;0;0;0;0;0;0.62;0.62;0.64
20068;Leintz-Gatzaga;0;0;0;0;0;0;0;0;0;0;0;0
48054;Leioa;0.99;1.06;1.16;1.05;1.22;1.33;1.34;1.47;1.37;0.83;0.85;0.86
48057;Lekeitio;2.11;1.96;1.79;0.83;0.83;1.11;1.24;1.09;1.22;1.21;1.21;1.22
48055;Lemoa;0;0.28;0.28;0.28;0.28;0.28;0.28;0;0;0.31;0.32;0.34
48056;Lemoiz;0;0;0;0;0;0;0;0;0;0;0;0
01034;Leza;0;0;0;0;0;0;0;0;0;4.15;4.31;4.31
48081;Lezama;0;0.41;0.42;0.41;0.42;0.42;0.42;0;0;0.4;0.41;0.42
20053;Lezo;0.99;0.99;0.99;0.66;0.82;1;0.99;0.99;1.14;1.33;1.17;1.18
20054;Lizartza;0;0;0;0;0;0;0;0;0;0;0;0
48903;Loiu;0;0;0;0.87;0.85;0.88;0.87;0;0.83;0.82;0.96;0.95
48058;Mallabia;0;0;0;0;0;0;0;0;0;8.5;1.72;1.73
48060;Markina-Xemein;1.2;1.19;0.99;1;0.6;0.61;0.61;0.61;0.61;0.82;0.84;0.86
48061;Maruri-Jatabe;0;0;0;0;0;0;0;0;0;0;1.18;1.19
48059;Mañaria;0;0;0;0;0;0;0;0;0;0;2.11;2.11
20901;Mendaro;0;0;0;0;0;0.49;0.49;0;0;0;0;0
48062;Mendata;0;0;0;0;0;0;0;0;0;0;2.67;2.68
48063;Mendexa;0;0;0;0;2.06;2.12;2.11;0;0;0;2.35;2.38
48064;Meñaka;0;0;0;0;0;0;0;0;0;0;0;0
01039;Moreda de Álava / Moreda Araba;0;0;0;0;0;0;0;0;0;3.5;3.37;3.3
48066;Morga;0;0;0;0;0;0;0;0;0;0;0;0
48068;Mundaka;1.61;1.6;1.6;1.63;1.63;1.08;0;0;0;0;1.08;1.09
48069;Mungia;1.31;1.56;1.39;1.04;1.27;1.23;1.47;1.42;1.36;0.98;0.7;0.72
48007;Munitibar-Arbatzegi Gerrikaitz-;0;0;0;0;0;0;0;0;0;0;0;0
48908;Murueta;0;0;0;0;0;0;3.37;0;0;0;0;0
48071;Muskiz;1.53;1.53;1.1;0.94;1.07;1.21;1.2;1.2;1.2;1.1;0.71;0.72
20057;Mutiloa;0;0;0;0;0;0;0;0;0;0;0;0
20056;Mutriku;0.93;0.94;0.94;0.94;1.12;1.31;1.13;1.14;0.96;1;1.02;1.03
48067;Muxika;0;0;0;0;0;0;0;0;0;0;0.7;0.73
48909;Nabarniz;0;0;0;0;0;0;0;0;0;4.27;4.44;4.35
01041;Navaridas;0;0;0;0;0;0;0;0;0;4.59;4.44;4.46
20063;Oiartzun;1.93;1.54;1.55;1.54;1.55;1.27;1.67;1.59;1.09;0.91;0.92;0.93
01042;Okondo;0;0;0;0;0;0;0;0;0;0.9;0.93;0.94
20058;Olaberria;1.08;1.08;1.05;1.09;1.09;2.12;2.14;0;0;2.15;2.11;2.19
48073;Ondarroa;0.97;1.08;1.06;1.17;1.05;1.04;1.16;1.16;1.15;1.02;1;1
20076;Ordizia;0.98;1;0.89;0.99;1;1.37;1.37;1.37;1.38;1.15;1.15;1.2
20905;Orendain;0;0;0;0;0;0;0;0;0;5.35;5.71;5.88
20060;Orexa;0;0;0;0;0;0;0;0;0;0;0;0
20061;Orio;0.98;1.81;1.15;1.14;1.15;1.19;1.2;1.22;1.26;1.36;0;0
20062;Ormaiztegi;0;0;0;0;0;0;0;0;0;0;0;0
48075;Orozko;0;0;0;0.76;0.77;0.76;0.76;0;0;0.82;0.83;0.85
48083;Ortuella;1.06;0.95;0.72;0;1.08;1.08;1.43;1.07;1.07;1.07;1.06;1.05
48072;Otxandio;0;0;0;0;0;0;0;0;0;0;0;0
01043;Oyón-Oion;0;0;0;0;0;0;0;0;0;0.3;0.31;0.32
20059;Oñati;1.22;1.05;1.06;1.13;1.14;1.33;1.52;1.25;0.99;0.74;0.37;0.38
20064;Pasaia;1.8;1.64;1.69;1.55;1.97;2.29;2.07;2.08;2.03;2.68;2.7;2.69
01044;Peñacerrada-Urizaharra;0;0;0;0;0;0;0;0;0;0;0;0
48077;Plentzia;1.57;1.57;1.55;1.59;0.92;1.15;1.14;1.35;1.13;0.91;0.92;0.95
48078;Portugalete;1.4;1.44;1.53;1.52;1.23;1.42;1.48;1.6;1.46;2.14;1.1;1.1
01047;Ribera Baja/Erribera Beitia;0;0.64;0.64;0.62;0.64;1.34;1.34;0;0;0.72;0.79;0.84
01051;Salvatierra/Agurain;0;0.19;0.19;0.19;0.19;0.19;0.2;0;0;0.2;0.21;0.23
01052;Samaniego;0;0;0;0;0;0;0;0;0;3.07;3.02;3.15
