ID,CODE,MUNICIPIO,SAME_AS_WIKIDATA_MUNICIPIO,PROVINCIA,SAME_AS_WIKIDATA_PROVINCIA,2020
20017IdxD,20017,Azkoitia,https://www.wikidata.org/wiki/Q793934,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,16.62
20018IdxD,20018,Azpeitia,https://www.wikidata.org/wiki/Q180611,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,14.93
1049IdxD,1049,Añana,https://www.wikidata.org/wiki/Q1113405,Álava,https://www.wikidata.org/wiki/Q81801,28.25
48012IdxD,48012,Bakio,https://www.wikidata.org/wiki/Q804466,Biscay,https://www.wikidata.org/wiki/Q93366,39.94
20904IdxD,20904,Baliarrain,https://www.wikidata.org/wiki/Q385872,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,12.5
48090IdxD,48090,Balmaseda,https://www.wikidata.org/wiki/Q4480,Biscay,https://www.wikidata.org/wiki/Q93366,38.01
48013IdxD,48013,Barakaldo,https://www.wikidata.org/wiki/Q487801,Biscay,https://www.wikidata.org/wiki/Q93366,41.98
48014IdxD,48014,Barrika,https://www.wikidata.org/wiki/Q4481,Biscay,https://www.wikidata.org/wiki/Q93366,48.69
1013IdxD,1013,Barrundia,https://www.wikidata.org/wiki/Q961216,Álava,https://www.wikidata.org/wiki/Q81801,43.85
48015IdxD,48015,Basauri,https://www.wikidata.org/wiki/Q765496,Biscay,https://www.wikidata.org/wiki/Q93366,33.66
1011IdxD,1011,Baños de Ebro/Mañueta,https://www.wikidata.org/wiki/Q1382239,Álava,https://www.wikidata.org/wiki/Q81801,53.97
20019IdxD,20019,Beasain,https://www.wikidata.org/wiki/Q847130,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,33.3
48092IdxD,48092,Bedia,https://www.wikidata.org/wiki/Q1242425,Biscay,https://www.wikidata.org/wiki/Q93366,41.43
20020IdxD,20020,Beizama,https://www.wikidata.org/wiki/Q1625906,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,41.32
20021IdxD,20021,Belauntza,https://www.wikidata.org/wiki/Q1639379,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,116.1
48016IdxD,48016,Berango,https://www.wikidata.org/wiki/Q1242343,Biscay,https://www.wikidata.org/wiki/Q93366,34.04
1014IdxD,1014,Berantevilla,https://www.wikidata.org/wiki/Q1368868,Álava,https://www.wikidata.org/wiki/Q81801,35.93
20022IdxD,20022,Berastegi,https://www.wikidata.org/wiki/Q1639406,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,20.7
20074IdxD,20074,Bergara,https://www.wikidata.org/wiki/Q1382252,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,29.62
48017IdxD,48017,Bermeo,https://www.wikidata.org/wiki/Q695444,Biscay,https://www.wikidata.org/wiki/Q93366,24.53
1016IdxD,1016,Bernedo,https://www.wikidata.org/wiki/Q1368822,Álava,https://www.wikidata.org/wiki/Q81801,27.99
48018IdxD,48018,Berriatua,https://www.wikidata.org/wiki/Q1228064,Biscay,https://www.wikidata.org/wiki/Q93366,27.98
