ID,CODE,MUNICIPIO,PROVINCIA,2020
20047DP,20047,Itsasondo,Gipuzkoa,0
48910DP,48910,Iurreta,Biscay,1.37
48050DP,48050,Izurtza,Biscay,3.94
48022DP,48022,Karrantza Harana / Valle de Carranza,Biscay,0.36
48907DP,48907,Kortezubi,Biscay,0
1019DP,1019,Kripan,Álava,0
1020DP,1020,Kuartango,Álava,0
1028DP,1028,Labastida-Bastida,Álava,0
1030DP,1030,Lagrán,Álava,0
1031DP,1031,Laguardia - Guardia,Álava,0.65
1032DP,1032,Lanciego/Lantziego,Álava,0
48051DP,48051,Lanestosa,Biscay,0
1902DP,1902,Lantarón,Álava,0
1033DP,1033,Lapuebla de Labarca,Álava,0
48052DP,48052,Larrabetzu,Biscay,0
20048DP,20048,Larraul,Gipuzkoa,0
20902DP,20902,Lasarte-Oria,Gipuzkoa,1.09
1036DP,1036,Laudio/Llodio,Álava,0.99
48053DP,48053,Laukiz,Biscay,0
20049DP,20049,Lazkao,Gipuzkoa,0.69
20050DP,20050,Leaburu,Gipuzkoa,2.72
20051DP,20051,Legazpi,Gipuzkoa,1.08
20052DP,20052,Legorreta,Gipuzkoa,0
1058DP,1058,Legutio,Álava,0
20068DP,20068,Leintz-Gatzaga,Gipuzkoa,0
48054DP,48054,Leioa,Biscay,1.16
48057DP,48057,Lekeitio,Biscay,1.79
48055DP,48055,Lemoa,Biscay,0.28
48056DP,48056,Lemoiz,Biscay,0
1034DP,1034,Leza,Álava,0
48081DP,48081,Lezama,Biscay,0.42
20053DP,20053,Lezo,Gipuzkoa,0.99
20054DP,20054,Lizartza,Gipuzkoa,0
48903DP,48903,Loiu,Biscay,0
48058DP,48058,Mallabia,Biscay,0
48060DP,48060,Markina-Xemein,Biscay,0.99
48061DP,48061,Maruri-Jatabe,Biscay,0
48059DP,48059,Mañaria,Biscay,0
20901DP,20901,Mendaro,Gipuzkoa,0
48062DP,48062,Mendata,Biscay,0
48063DP,48063,Mendexa,Biscay,0
48064DP,48064,Meñaka,Biscay,0
1039DP,1039,Moreda de Álava/Moreda Araba,Álava,0
48066DP,48066,Morga,Biscay,0
48068DP,48068,Mundaka,Biscay,1.6
48069DP,48069,Mungia,Biscay,1.39
48007DP,48007,Munitibar-Arbatzegi Gerrikaitz,Biscay,0
48908DP,48908,Murueta,Biscay,0
48071DP,48071,Muskiz,Biscay,1.1
20057DP,20057,Mutiloa,Gipuzkoa,0
20056DP,20056,Mutriku,Gipuzkoa,0.94
48067DP,48067,Muxika,Biscay,0
48909DP,48909,Nabarniz,Biscay,0
1041DP,1041,Navaridas,Álava,0
20063DP,20063,Oiartzun,Gipuzkoa,1.55
1042DP,1042,Okondo,Álava,0
20058DP,20058,Olaberria,Gipuzkoa,1.05
48073DP,48073,Ondarroa,Biscay,1.06
20076DP,20076,Ordizia,Gipuzkoa,0.89
20905DP,20905,Orendain,Gipuzkoa,0
20060DP,20060,Orexa,Gipuzkoa,0
20061DP,20061,Orio,Gipuzkoa,1.15
20062DP,20062,Ormaiztegi,Gipuzkoa,0
48075DP,48075,Orozko,Biscay,0
48083DP,48083,Ortuella,Biscay,0.72
48072DP,48072,Otxandio,Biscay,0
1043DP,1043,Oyón-Oion,Álava,0
20059DP,20059,Oñati,Gipuzkoa,1.06
20064DP,20064,Pasaia,Gipuzkoa,1.69
1044DP,1044,Peñacerrada-Urizaharra,Álava,0
48077DP,48077,Plentzia,Biscay,1.55
48078DP,48078,Portugalete,Biscay,1.53
1047DP,1047,Ribera Baja/Erribera Beitia,Álava,0.64
1051DP,1051,Agurain/Salvatierra,Álava,0.19
1052DP,1052,Samaniego,Álava,0
1053DP,1053,San Millán-Donemiliaga,Álava,0
48082DP,48082,Santurtzi,Biscay,1.75
20070DP,20070,Segura,Gipuzkoa,0
48084DP,48084,Sestao,Biscay,2.68
48904DP,48904,Sondika,Biscay,0
