ID,DESC_CLASIFICACION,address_id,LOCALIDAD,COD_POSTAL,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,TIPO_VIA,NOM_VIA,NUM_VIA,ESTADO,ID_GEO,LATITUD,LONGITUD,USO,MODELO
530420,Fuentes de beber,530420_adress,Madrid,28018,133,PALOMERAS BAJAS,13,PUENTE DE VALLECAS,CALLE,PUERTO DE BALBARAN,135,OPERATIVO,530420_geo,40.37671372,-3.65409346,MASCOTAS,BEBEDERO CANINO
530586,Fuentes de beber,530586_adress,Madrid,28025,117,ABRANTES,11,CARABANCHEL,PARQUE,EMPERATRIZ MARIA DE AUSTRIA,18,OPERATIVO,530586_geo,40.3760391,-3.72706978,PERSONAS Y MASCOTAS,MIXTA ESTELA
5842993,Fuentes de beber,5842993_adress,Madrid,28018,133,PALOMERAS BAJAS,13,PUENTE DE VALLECAS,CALLE,PUERTO DE COSTABONA,9,OPERATIVO,5842993_geo,40.38473852,-3.66006801,PERSONAS Y MASCOTAS,MIXTA ESTELA
5849302,Fuentes de beber,5849302_adress,Madrid,28047,104,ALUCHE,10,LATINA,CALLE,DUQUESA DE PARCENT,16,OPERATIVO,5849302_geo,40.39571056,-3.75198249,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
6542299,Fuentes de beber,6542299_adress,Madrid,28030,144,MEDIA LEGUA,14,MORATALAZ,AVENIDA,MORATALAZ,21,OPERATIVO,6542299_geo,40.40767041,-3.66010343,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
7130547,Fuentes de beber,7130547_adress,Madrid,28042,211,ALAMEDA DE OSUNA,21,BARAJAS,CALLE,CATAMARAN,9,OPERATIVO,7130547_geo,40.45259941,-3.59551845,PERSONAS Y MASCOTAS,MIXTA ESTELA
7131439,Fuentes de beber,7131439_adress,Madrid,28041,123,SAN FERMIN,12,USERA,CALLE,CORINDON,10,OPERATIVO,7131439_geo,40.36716247,-3.68916106,PERSONAS Y MASCOTAS,MIXTA ESTELA
7144389,Fuentes de beber,7144389_adress,Madrid,28053,131,ENTREVIAS,13,PUENTE DE VALLECAS,RONDA,SUR,6 D,OPERATIVO,7144389_geo,40.37489473,-3.67279059,PERSONAS Y MASCOTAS,MIXTA ESTELA
7180278,Fuentes de beber,7180278_adress,Madrid,28029,064,ALMENARA,06,TETUAN,CALLE,COSTA VERDE,3,OPERATIVO,7180278_geo,40.46800165,-3.69434977,PERSONAS Y MASCOTAS,MIXTA ESTELA
7412031,Fuentes de beber,7412031_adress,Madrid,28047,103,LUCERO,10,LATINA,CALLE,CUART DE POBLET,117,OPERATIVO,7412031_geo,40.39739203,-3.75046804,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
