ID,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,FECHA_INSTALACION
8972239,54,HISPANOAMERICA,5,CHAMARTIN,40.45459508,-3.67298600,CALLE,URUGUAY,14,28016,2022-08-01
8972243,84,EL PILAR,8,FUENCARRAL-EL PARDO,40.47516113,-3.70487699,AVENIDA,EL FERROL,14,28029,2022-08-01
8972244,117,ABRANTES,11,CARABANCHEL,40.38141412,-3.72495799,CALLE,VIA LUSITANA,48,28025,2022-08-01
8972246,86,VALVERDE,8,FUENCARRAL-EL PARDO,40.50918612,-3.67622400,CALLE,FROMISTA,9,28050,2022-08-01
8972250,83,PEÑA GRANDE,8,FUENCARRAL-EL PARDO,40.48605217,-3.73135999,CALLE,ARROYO DEL MONTE,13,28049,2022-08-01
8972247,87,MIRASIERRA,8,FUENCARRAL-EL PARDO,40.50097116,-3.70406800,CALLE,MONASTERIO DE EL PAULAR,66,28049,2022-08-01
8972249,156,SAN JUAN BAUTISTA,15,CIUDAD LINEAL,40.45026308,-3.65717399,CALLE,CIDAMON,4,28043,2022-08-01
8972251,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,40.36600910,-3.61297400,AVENIDA,CERRO MILANO,11,28051,2022-08-01
8972254,86,VALVERDE,8,FUENCARRAL-EL PARDO,40.49010115,-3.68387699,CALLE,ISLA DE JAVA,46,28034,2022-08-01
8972257,115,PUERTA BONITA,11,CARABANCHEL,40.37706013,-3.73784599,CALLE,CARCASTILLO,29,28025,2022-08-01
8972269,86,VALVERDE,8,FUENCARRAL-EL PARDO,40.50666715,-3.69088499,CALLE,CABALLERO DE LA TRISTE FIGURA,47,28034,2022-08-01
8972275,93,CIUDAD UNIVERSITARIA,9,MONCLOA-ARAVACA,40.45167114,-3.71453199,CALLE,RECTOR ROYO-VILLANOVA,10 C,28040,2022-08-01
8972281,171,VILLAVERDE ALTO C.H.,17,VILLAVERDE,40.35629314,-3.71781899,CALLE,VERDE VIENTO,69,28021,2022-08-01
8972287,97,ARAVACA,9,MONCLOA-ARAVACA,40.44550013,-3.78606099,AVENIDA,EUROPA,32 X,28023,2022-08-01
