Zone Name,zone_name,Ward Name,Name of Parking,Parking Address,Latitude,Longitude,No. of 4 wheeler parking,No. of 2 wheeler parking
Chatta,Lohamandi,   Khwaspura,    Group_C1_27_2,   In Front of Kushwaha Complex on Kheria Mode,27.161395,77.98403,3,22
Chatta,Lohamandi,   Rahul Nagar Bodla,    Group_B_15,   Dr. Pramod Clinic to Premji Confectioner Shop on Bodla - Sikandra Road,27.189147,77.961433,4,32
Chatta,Hariparwat,   Khandari,    Group_B_11,   In front of ISBT,27.208992,77.978797,13,96
Chatta,Hariparwat,   Wazirpura,    GG,   Parking in front of GG Medical,27.200326,78.007764,44,337
Chatta,Hariparwat,   Wazirpura,    FRONT,   Parking in front of Commissioner Central Excise,27.201027,78.007807,36,272
Hariparwat,Hariparwat,   Lohiya Nagar,    Group_A_5,   From the back wall of the Agrawan Boundary at the Waterworks Chauraha till J,27.206409,78.031631,13,97
Chatta,Lohamandi,   Nagla Mohan,    Parking Area,"   Police Line, Shahganj, Agra, Uttar Pradesh ",27.174345,77.993856,NA,NA
Hariparwat,Chatta,   Nawalganj,    Group_A_3,"   Etmad-ud-Daula memorial (just pick up and drop in front of the memorial, two",27.191527,78.033476,61,471
Hariparwat,Chatta,   Bhagwati Bagh,    Group_A_1(1),   All vehicles going to BhagwanTalkies in front of Shriram Peta,27.20335,78.039269,23,177
Hariparwat,Hariparwat,   Wazirpura,    Group_C_17_1,"   Kailash Plaza on the road leading to Nehru Nagar, opposite New Shah Market a",27.20446,78.005356,8,62
Hariparwat,Lohamandi,   Raja Mandi,    Group_C_21,   In front of Shaheed Bhagat Singh Hostel,27.188997,78.001107,4,33
Hariparwat,Chatta,   Bhagwati Bagh,    Group_A_2,   In Front of Rambagh Park Memorial (on Hathras Road),27.205408,78.041226,10,79
Hariparwat,Hariparwat,   Bagh Muzaffar Khan,    Group_C_20,   Boundary Wall of Agra College Field,27.19065,78.001173,17,128
Hariparwat,Hariparwat,   Nagla Padi,    Group_B_8(1),   Vehicles Moving to MG Road,27.211392,78.003818,26,203
