Identificador_Dirección,Número_de_Distrito,Calle,Tipo de Vía
750053647,11,PASSAGE LISA,PASSAGE
750053683,11,PASSAGE LOUIS-PHILIPPE,PASSAGE
750184416,13,PASSAGE MADELEINE PELLETIER,PASSAGE
750091350,20,PASSAGE MAIGROT-DELAUNAY,PASSAGE
750168502,19,PASSAGE MARCEL LANDOWSKI,PASSAGE
750182829,12,PASSAGE MARIE ROGISSART,PASSAGE
750171975,5,PASSAGE MAUREL,PASSAGE
750163366,3,PASSAGE MESLAY,PASSAGE
750175441,12,PASSAGE MIRIAM MAKEBA,PASSAGE
750007566,3,PASSAGE MOLIERE,PASSAGE
750137089,17,PASSAGE MONCEY,PASSAGE
750092013,20,PASSAGE MONPLAISIR,PASSAGE
750103409,14,PASSAGE MONTBRUN,PASSAGE
750062513,12,PASSAGE MONTGALLET,PASSAGE
750164623,19,PASSAGE NAFISSA SID CARA,PASSAGE
750072247,13,PASSAGE NATIONAL,PASSAGE
750115591,15,PASSAGE OLIVIER DE SERRES,PASSAGE
750174401,20,PASSAGE ORMEAUX-GRANDS CHAMPS,PASSAGE
750082972,18,PASSAGE PENEL,PASSAGE
750165262,20,PASSAGE PERREUR,PASSAGE
750169185,17,PASSAGE PETIT CERF,PASSAGE
750160478,11,PASSAGE PHILIPPE-AUGUSTE,PASSAGE
750055184,11,PASSAGE PIVER,PASSAGE
750093680,20,PASSAGE PLANCHARD,PASSAGE
750093777,20,PASSAGE PLANTIN,PASSAGE
750146623,17,PASSAGE PONCELET,PASSAGE
750158532,1,PASSAGE POTIER,PASSAGE
750176968,17,PASSAGE POUCHET,PASSAGE
750038767,8,PASSAGE PUTEAUX,PASSAGE
750063390,12,PASSAGE RAGUINOT,PASSAGE
750083828,18,PASSAGE RAMEY,PASSAGE
750055374,11,PASSAGE RAUCH,PASSAGE
750143698,10,PASSAGE REILHAC,PASSAGE
750164265,15,PASSAGE RIBET,PASSAGE
750179466,14,PASSAGE RIMBAUT,PASSAGE
750157728,11,PASSAGE ROCHEBRUNE,PASSAGE
750180702,10,PASSAGE ROLAND TOPOR,PASSAGE
750138693,17,PASSAGE ROUX,PASSAGE
750084251,18,PASSAGE RUELLE,PASSAGE
750056069,11,PASSAGE SAINT-AMBROISE,PASSAGE
750151646,17,PASSAGE SAINT-ANGE,PASSAGE
750056114,11,PASSAGE SAINT-ANTOINE,PASSAGE
750056128,11,PASSAGE SAINT-BERNARD,PASSAGE
750157906,2,PASSAGE SAINTE-ANNE,PASSAGE
750056175,11,PASSAGE SAINTE-ANNE POPINCOURT,PASSAGE
750008298,3,PASSAGE SAINTE-AVOIE,PASSAGE
750157766,3,PASSAGE SAINTE-ELISABETH,PASSAGE
750005831,2,PASSAGE SAINTE-FOY,PASSAGE
750157462,12,PASSAGE SAINT-EMILION,PASSAGE
750164066,18,PASSAGE SAINT-JULES,PASSAGE
750056224,11,PASSAGE SAINT-MAUR,PASSAGE
750138865,17,PASSAGE SAINT-MICHEL,PASSAGE
750011977,4,PASSAGE SAINT-PAUL,PASSAGE
750039226,8,PASSAGE SAINT-PHILIPPE DU ROULE,PASSAGE
750056427,11,PASSAGE SAINT-PIERRE AMELOT,PASSAGE
750156300,1,PASSAGE SAINT-ROCH,PASSAGE
750056432,11,PASSAGE SAINT-SABIN,PASSAGE
750154042,11,PASSAGE SAINT-SEBASTIEN,PASSAGE
750157451,12,PASSAGE SAINT-VIVANT,PASSAGE
750056613,11,PASSAGE SALARNIER,PASSAGE
750095397,20,PASSAGE SAVART,PASSAGE
750117262,15,PASSAGE SECURITE,PASSAGE
750073821,13,PASSAGE SIGAUD,PASSAGE
750129002,16,PASSAGE SINGER,PASSAGE
750180518,17,PASS MARCELLE HENRY,PASSAGES
750095601,20,PASSAGE STENDHAL,PASSAGE
750165017,12,PASSAGE STINVILLE,PASSAGE
750177267,19,PASSAGE SUSAN SONTAG,PASSAGE
750145794,14,PASSAGE TENAILLE,PASSAGE
750056940,11,PASSAGE THIERE,PASSAGE
750085183,18,PASSAGE TOURLAQUE,PASSAGE
750074376,13,PASSAGE TRUBERT-BELLIER,PASSAGE
750057183,11,PASSAGE TURQUETIL,PASSAGE
750074409,13,PASSAGE VALLET,PASSAGE
750074427,13,PASSAGE VANDREZANNE,PASSAGE
750009057,3,PASSAGE VENDOME,PASSAGE
750045033,9,PASSAGE VERDEAU,PASSAGE
750169423,1,PASSAGE VERITE,PASSAGE
750057244,11,PASSAGE VIALLET,PASSAGE
750074601,13,PASSAGE VICTOR MARCHAND,PASSAGE
750180514,4,PASSAGE WALTER BENJAMIN,PASSAGE
750021448,19,PASSAGE WATTIEAUX,PASSAGE
750164849,1,PER DE BEAUJOLAIS,PER
750000428,1,PER DE CHARTRES,PER
750001503,1,PER DE MONTPENSIER,PER
750002876,1,PER DE VALOIS,PER
750106705,15,PLACE ADOLPHE CHERIOUX,PLACE
750039802,9,PLACE ADOLPHE MAX,PLACE
750039812,9,PLACE ADRIEN OUDIN,PLACE
750118799,15,PLACE ALBERT COHEN,PLACE
750162171,18,PLACE ALBERT KAHN,PLACE
750065816,13,PLACE ALBERT LONDRES,PLACE
750359744,4,PLACE ALBERT MEMMI,PLACE
750154149,15,PLACE ALFRED SAUVY,PLACE
750178485,14,PLACE ALICE GUY,PLACE
750085760,20,PLACE ALPHONSE ALLAIS,PLACE
750026217,6,PLACE ALPHONSE DEVILLE,PLACE
750106987,15,PLACE ALPHONSE HUMBERT,PLACE
750021818,5,PLACE ALPHONSE LAVERAN,PLACE
750167191,14,PLACE AMBROISE CROIZAT,PLACE
750174115,15,PLACE AMEDEE GORDINI,PLACE
750359233,18,PLACE AMINADABU BIRARA,PLACE
750164958,9,PLACE ANDRE BRETON,PLACE
750000028,1,PLACE ANDRE MALRAUX,PLACE
750153001,13,PLACE ANDRE MASSON,PLACE
750359743,17,PLACE ANDRE ZIRNHELD,PLACE
750360057,17,PLACE ANNY FLORE,PLACE
750013379,19,PLACE ARMAND CARREL,PLACE
750131071,17,PLACE ARNAULT TZANCK,PLACE
750359152,15,PLACE ATHANASE BASSINET,PLACE
750164563,13,PLACE AUGUSTA HOLMES,PLACE
750168284,19,PLACE AUGUSTE BARON,PLACE
750086014,20,PLACE AUGUSTE METIVIER,PLACE
750175676,6,PLACE AUGUST STRINDBERG,PLACE
750177183,13,PLACE AURÉLIE NEMOURS,PLACE
750107479,15,PLACE BALARD,PLACE
750168320,4,PLACE BAUDOYER,PLACE
750034985,8,PLACE BEAUVAU,PLACE
750021925,5,PLACE BERNARD HALPERN,PLACE
750184124,3,PLACE BERNARD LAZARE,PLACE
750107810,15,PLACE BIENVENUE,PLACE
750040169,9,PLACE BLANCHE,PLACE
750175117,17,PLACE BLANCHE LEFEBVRE,PLACE
750143055,2,PLACE BOIELDIEU,PLACE
750131897,17,PLACE BOULNOIS,PLACE
750108319,15,PLACE CAMBRONNE,PLACE
750171941,15,PLACE CAMILLE CLAUDEL,PLACE
750177377,20,PLACE CARMEN,PLACE
750359840,1,PLACE CARREE,PLACE
750083807,18,PLACE CASADESUS,PLACE
750167201,18,PLACE CECILE BRUNSCHVICG,PLACE
750077187,18,PLACE CHARLES BERNARD,PLACE
750158463,16,PLACE CHARLES DE GAULLE,PLACE
750077196,18,PLACE CHARLES DULLIN,PLACE
750132534,17,PLACE CHARLES FILLION,PLACE
750159491,9,PLACE CHARLES GARNIER,PLACE
750108940,15,PLACE CHARLES MICHELS,PLACE
750180738,19,PLACE CHARLES MONSELET,PLACE
750162631,15,PLACE CHARLES VALLIN,PLACE
750359833,18,PLACE CHEIKHA REMITTI,PLACE
750120753,16,PLACE CHOPIN,PLACE
750161939,8,PLACE CLEMENCEAU,PLACE
750121542,16,PLACE CLEMENT ADER,PLACE
750012581,1,PLACE COLETTE,PLACE
750182136,13,PLACE COLUCHE,PLACE
750149478,14,PLACE CONSTANTIN BRANCUSI,PLACE
750077781,18,PLACE CONSTANTIN PECQUEUR,PLACE
750159338,12,PLACE D'ALIGRE,PLACE
750106849,15,PLACE D'ALLERAY,PLACE
750164556,16,PLACE D'ANDORRE,PLACE
750039930,9,PLACE D'ANVERS,PLACE
750041419,9,PLACE D'ESTIENNE D'ORVES,PLACE
750123879,16,PLACE D'IENA,PLACE
750135108,17,PLACE D'ISRAEL,PLACE
750070664,13,PLACE D'ITALIE,PLACE
750181196,18,PLACE DALIDA,PLACE
750172983,11,PLACE DARNO MAFFINI,PLACE
750000618,1,PLACE DAUPHINE,PLACE
750162635,16,PLACE DE BARCELONE,PLACE
750014081,19,PLACE DE BITCHE,PLACE
750181637,16,PLACE DE BOLIVIE,PLACE
750108239,15,PLACE DE BRAZZAVILLE,PLACE
750160970,15,PLACE DE BRETEUIL,PLACE
750040403,9,PLACE DE BUDAPEST,PLACE
750099786,14,PLACE DE CATALOGNE,PLACE
750040961,9,PLACE DE CLICHY,PLACE
750120948,16,PLACE DE COLOMBIE,PLACE
750174052,16,PLACE DE COSTA RICA,PLACE
750035965,8,PLACE DE DUBLIN,PLACE
750181488,20,PLACE DE FLORE,PLACE
750178772,7,PLACE DE FONTENOY - UNESCO,PLACE
750183396,17,PLACE DE JERUSALEM,PLACE
750017343,19,PLACE DE JOINVILLE,PLACE
750162016,5,PLACE DE L'ABBE BASSET,PLACE
750065677,13,PLACE DE L'ABBE GEORGES HENOCQUE,PLACE
750157543,14,PLACE DE L'ABBE JEAN LEBEUF,PLACE
750085697,20,PLACE DE L'ADJUDANT VINCENOT,PLACE
750034517,8,PLACE DE L'ALMA,PLACE
750098748,14,PLACE DE L'AMPHITHEATRE,PLACE
750147455,19,PLACE DE L'ARGONNE,PLACE
750149723,18,PLACE DE L'ASSOMMOIR,PLACE
750000687,1,PLACE DE L'ECOLE,PLACE
750031308,7,PLACE DE L'ECOLE MILITAIRE,PLACE
750161926,16,PLACE DE L'EGLISE D'AUTEUIL,PLACE
750121860,16,PLACE DE L'EGLISE DE L'ASSOMPTION,PLACE
750069554,13,PLACE DE L'ESCADRILLE NORMANDIE-NIEMEN,PLACE
750023047,5,PLACE DE L'ESTRAPADE,PLACE
750181760,8,PLACE DE L'EUROPE-SIMONE VEIL,PLACE
750175090,4,PLACE DE L'HOTEL DE VILLE-ESPLANADE DE LA LIBERATION,PLACE
750027619,6,PLACE DE L'INSTITUT,PLACE
750028506,6,PLACE DE L'ODEON,PLACE
750005016,2,PLACE DE L'OPERA,PLACE
750129752,16,PLACE DE L'URUGUAY,PLACE
750020978,19,PLACE DE LA BATAILLE DE STALINGRAD,PLACE
750167514,2,PLACE DE LA BOURSE,PLACE
750076952,18,PLACE DE LA CHAPELLE,PLACE
750035682,8,PLACE DE LA CONCORDE,PLACE
750022673,5,PLACE DE LA CONTRESCARPE,PLACE
750016269,19,PLACE DE LA FONTAINE AUX LIONS,PLACE
750151639,14,PLACE DE LA GARENNE,PLACE
750179177,15,PLACE DE LA LAICITE,PLACE
750161960,8,PLACE DE LA MADELEINE,PLACE
750115329,15,PLACE DE LA MONTAGNE DU GOULET,PLACE
750062668,12,PLACE DE LA NATION,PLACE
750127848,16,PLACE DE LA PORTE D'AUTEUIL,PLACE
750093808,20,PLACE DE LA PORTE DE BAGNOLET,PLACE
750138111,17,PLACE DE LA PORTE DE CHAMPERRET,PLACE
750104670,14,PLACE DE LA PORTE DE CHATILLON,PLACE
750177066,20,PLACE DE LA PORTE DE MONTREUIL,PLACE
750019677,19,PLACE DE LA PORTE DE PANTIN,PLACE
750127859,16,PLACE DE LA PORTE DE PASSY,PLACE
750127882,16,PLACE DE LA PORTE DE SAINT-CLOUD,PLACE
750104733,14,PLACE DE LA PORTE DE VANVES,PLACE
750177661,15,PLACE DE LA PORTE DE VERSAILLES,PLACE
750138190,17,PLACE DE LA PORTE MAILLOT,PLACE
750127901,16,PLACE DE LA PORTE MOLITOR,PLACE
750162674,8,PLACE DE LA REINE ASTRID,PLACE
750008201,3,PLACE DE LA REPUBLIQUE,PLACE
750138592,17,PLACE DE LA REPUBLIQUE DOMINICAINE,PLACE
750033001,7,PLACE DE LA RESISTANCE,PLACE
750094712,20,PLACE DE LA REUNION,PLACE
750359846,1,PLACE DE LA ROTONDE,PLACE
750025752,5,PLACE DE LA SORBONNE,PLACE
750136542,17,PLACE DE LEVIS,PLACE
750164180,20,PLACE DE MENILMONTANT,PLACE
750150555,16,PLACE DE MEXICO,PLACE
750103617,14,PLACE DE MORO-GIAFFERI,PLACE
750162610,8,PLACE DE NARVIK,PLACE
750164132,14,PLACE DENFERT-ROCHEREAU,PLACE
750127026,16,PLACE DE PASSY,PLACE
750073140,13,PLACE DE PORT-AU-PRINCE,PLACE
750038887,8,PLACE DE RIO DE JANEIRO,PLACE
750157651,13,PLACE DE RUNGIS,PLACE
750146684,18,PLACE DES ABBESSES,PLACE
750065875,13,PLACE DES ALPES,PLACE
750144338,14,PLACE DES CINQ MARTYRS DU LYCEE BUFFON,PLACE
750162615,12,PLACE DES COMBATTANTS EN AFRIQUE DU NORD,PLACE
750000646,1,PLACE DES DEUX ECUS,PLACE
750173496,14,PLACE DES DROITS DE L'ENFANT,PLACE
750183251,4,PLACE DES EMEUTES DE STONEWALL,PLACE
750105804,14,PLACE DE SEOUL,PLACE
750122060,16,PLACE DES ETATS-UNIS,PLACE
750016026,19,PLACE DES FETES,PLACE
750089781,20,PLACE DES GRES,PLACE
750177531,15,PLACE DES INSURGES DE VARSOVIE,PLACE
750177688,15,PLACE DES MARTYRS DE LA RESISTANCE,PLACE
750173118,15,PLACE DES MARTYRS JUIFS DU VELODROME D'HIVER,PLACE
750182851,18,PLACE DES MESSAGERIES DE L'EST,PLACE
750005229,2,PLACE DES PETITS PERES,PLACE
750001835,1,PLACE DES PYRAMIDES,PLACE
750164555,13,PLACE DES QUARANTE-QUATRE ENFANTS D'IZIEU,PLACE
750039240,8,PLACE DES SAUSSAIES,PLACE
750172279,20,PLACE DES SOURCES DU NORD,PLACE
750139478,17,PLACE DES TERNES,PLACE
750359428,18,PLACE DES TIRAILLEURS SENEGALAIS,PLACE
750006251,2,PLACE DES VICTOIRES,PLACE
750065277,12,PLACE DES VINS DE FRANCE,PLACE
750098042,3,PLACE DES VOSGES,PLACE
750185027,15,PLACE DE SYDNEY,PLACE
750008814,3,PLACE DE THORIGNY,PLACE
750154883,16,PLACE DE TOKYO,PLACE
750085131,18,PLACE DE TORCY,PLACE
750002882,1,PLACE DE VALOIS,PLACE
750162152,16,PLACE DE VARSOVIE,PLACE
750074488,13,PLACE DE VENETIE,PLACE
750144029,17,PLACE DE VERDUN,PLACE
750156191,17,PLACE DE WAGRAM,PLACE
750041210,9,PLACE DIAGHILEV,PLACE
750169394,18,PLACE DJANGO REINHARDT,PLACE
750165617,11,PLACE DU 8 FEVRIER 1962,PLACE
750057951,12,PLACE DU BATAILLON DU PACIFIQUE,PLACE
750162401,17,PLACE DU BRESIL,PLACE
750003589,2,PLACE DU CAIRE,PLACE
750076243,18,PLACE DU CALVAIRE,PLACE
750163376,8,PLACE DU CANADA,PLACE
750108490,15,PLACE DU CARDINAL AMETTE,PLACE
750145771,12,PLACE DU CARDINAL LAVIGERIE,PLACE
750164824,1,PLACE DU CARROUSEL,PLACE
750120455,16,PLACE DU CHANCELIER ADENAUER,PLACE
750075724,18,PLACE DU CHATEAU ROUGE,PLACE
750010008,4,PLACE DU CHATELET,PLACE
750059505,12,PLACE DU COLONEL BOURGOIN,PLACE
750046248,10,PLACE DU COLONEL FABIEN,PLACE
750109201,15,PLACE DU COMMERCE,PLACE
750027004,6,PLACE DU DIX-HUIT JUIN 1940,PLACE
750046388,10,PLACE DU DOCTEUR ALFRED FOURNIER,PLACE
750151272,12,PLACE DU DOCTEUR ANTOINE BECLERE,PLACE
750133698,17,PLACE DU DOCTEUR FELIX LOBLIGEOIS,PLACE
750121540,16,PLACE DU DOCTEUR HAYEM,PLACE
750121549,16,PLACE DU DOCTEUR PAUL MICHAUX,PLACE
750069136,13,PLACE DU DOCTEUR YERSIN,PLACE
750112274,15,PLACE DU GENERAL BEURET,PLACE
750178849,8,PLACE DU GENERAL BROCARD,PLACE
750134552,17,PLACE DU GENERAL CATROUX,PLACE
750162656,19,PLACE DU GENERAL COCHET,PLACE
750163374,7,PLACE DU GENERAL GOURAUD,PLACE
750016448,19,PLACE DU GENERAL INGOLD,PLACE
750134581,17,PLACE DU GENERAL KOENIG,PLACE
750112397,15,PLACE DU GENERAL MONCLAR,PLACE
750123132,16,PLACE DU GENERAL PATTON,PLACE
750123167,16,PLACE DU GENERAL STEFANIK,PLACE
750089546,20,PLACE DU GENERAL TESSIER DE MARGUERITTES,PLACE
750158636,8,PLACE DU GUATEMALA,PLACE
750089851,20,PLACE DU GUIGNIER,PLACE
750036793,8,PLACE DU HAVRE,PLACE
750155721,14,PLACE DU LIEUTENANT STEPHANE PIOBETTA,PLACE
750001097,1,PLACE DU LOUVRE,PLACE
750165476,20,PLACE DU MAQUIS DU VERCORS,PLACE
750158561,4,PLACE DU MARCHE SAINTE-CATHERINE,PLACE
750001196,1,PLACE DU MARCHE SAINT-HONORE,PLACE
750125644,16,PLACE DU MARECHAL DE LATTRE DE TASSIGNY,PLACE
750136836,17,PLACE DU MARECHAL JUIN,PLACE
750018338,19,PLACE DU MAROC,PLACE
750161642,15,PLACE DU MOULIN DE JAVEL,PLACE
750163389,17,PLACE DU NICARAGUA,PLACE
750032747,7,PLACE DU PALAIS BOURBON,PLACE
750001684,1,PLACE DU PALAIS ROYAL,PLACE
750024647,5,PLACE DU PANTHEON,PLACE
750165677,4,PLACE DU PARVIS NOTRE-DAME - PLACE JEAN-PAUL II,PLACE
750157046,11,PLACE DU PERE CHAILLET,PLACE
750127358,16,PLACE DU PERE MARCELLIN CHAMPAGNAT,PLACE
750160715,4,PLACE DU PERE TEILHARD DE CHARDIN,PLACE
750024769,5,PLACE DU PETIT PONT,PLACE
750110487,15,PLACE DUPLEIX,PLACE
750001772,1,PLACE DU PONT NEUF,PLACE
750032892,7,PLACE DU PRESIDENT MITHOUARD,PLACE
750025070,5,PLACE DU PUITS DE L'ERMITE,PLACE
750028630,6,PLACE DU QUEBEC,PLACE
750173298,8,PLACE DU REVEREND PERE CARRE,PLACE
750085076,18,PLACE DU TERTRE,PLACE
750167083,16,PLACE DU TROCADERO ET DU ONZE NOVEMBRE,PLACE
750159917,16,PLACE DU VENEZUELA,PLACE
750106489,14,PLACE DU VINGT-CINQ AOUT 1944,PLACE
750010741,4,PLACE EDMOND MICHELET,PLACE
750027157,6,PLACE EDMOND ROSTAND,PLACE
750060638,12,PLACE EDOUARD RENARD,PLACE
750045176,9,PLACE EDOUARD VII,PLACE
750184912,7,PLACE EDWIGE FEUILLERE,PLACE
750155364,7,PLACE EL SALVADOR,PLACE
750078750,18,PLACE EMILE GOUDEAU,PLACE
750088568,20,PLACE EMILE LANDRIN,PLACE
750158543,5,PLACE EMILE MALE,PLACE
750359103,13,PLACE EN HOMMAGE AUX FEMMES VICTIMES DE VIOLENCES,PLACE
750177880,6,PLACE ERNEST DENIS,PLACE
750111177,15,PLACE ETIENNE PERNET,PLACE
750164473,14,PLACE EUGENE CLAUDIUS-PETIT,PLACE
750111268,15,PLACE FALGUIERE,PLACE
750181559,13,PLACE FARHAT HACHED,PLACE
750061053,12,PLACE FELIX EBOUE,PLACE
750150492,14,PLACE FERDINAND BRUNOT,PLACE
750173420,13,PLACE FO/13,PLACE
750181861,17,PLACE FRANCOISE DORIN,PLACE
750177426,18,PLACE FRANCOISE DORLEAC,PLACE
750177428,18,PLACE FRANÇOISE DORLEAC,PLACE
750036307,8,PLACE FRANCOIS IER,PLACE
750047298,10,PLACE FRANZ LISZT,PLACE
750175996,9,PLACE GABRIEL KASPEREIT,PLACE
750161164,8,PLACE GABRIEL PERI,PLACE
750163331,2,PLACE GAILLON,PLACE
750089464,20,PLACE GAMBETTA,PLACE
750173171,15,PLACE GENEVIEVE DE GAULLE ANTHONIOZ,PLACE
750163494,9,PLACE GEORGES BERRY,PLACE
750173321,8,PLACE GEORGES GUILLAUMIN,PLACE
750180350,5,PLACE GEORGES MOUSTAKI,PLACE
750160019,15,PLACE GEORGES MULOT,PLACE
750178960,4,PLACE GEORGES POMPIDOU,PLACE
750171919,8,PLACE GERARD OURY,PLACE
750175507,12,PLACE GERTRUDE STEIN,PLACE
750184198,13,PLACE GRACE MURRAY HOPPER,PLACE
750041810,9,PLACE GUSTAVE TOUDOUZE,PLACE
750173040,19,PLACE HANNAH ARENDT,PLACE
750183252,4,PLACE HARVEY MILK,PLACE
750079692,18,PLACE HEBERT,PLACE
750036812,8,PLACE HENRI BERGSON,PLACE
750161249,19,PLACE HENRI FISZBIN,PLACE
750147013,12,PLACE HENRI FRENAY,PLACE
750173286,20,PLACE HENRI KRASUCKI,PLACE
750090207,20,PLACE HENRI MATISSE,PLACE
750112913,15,PLACE HENRI ROLLET,PLACE
750178305,1,PLACE HENRI SALVADOR,PLACE
750031813,7,PLACE HENRY DE MONTHERLANT,PLACE
750180435,13,PLACE HRANT DINK,PLACE
750181891,5,PLACE HUBERT CURIEN,PLACE
750176112,11,PLACE HUBERTINE AUCLERT,PLACE
750358995,17,PLACE JACQUELINE FRANCOIS,PLACE
750031872,7,PLACE JACQUES BAINVILLE,PLACE
750047635,10,PLACE JACQUES BONSERGENT,PLACE
750178353,14,PLACE JACQUES DEBU-BRIDEL,PLACE
750015210,19,PLACE JACQUES FERON,PLACE
750079887,18,PLACE JACQUES FROMENT,PLACE
750140644,15,PLACE JACQUES MARETTE,PLACE
750174466,9,PLACE JACQUES ROUCHE,PLACE
750178725,10,PLACE Jan Karski,PLACE
750179531,10,PLACE JAN KARSKI,PLACE
750079915,18,PLACE JEAN-BAPTISTE CLEMENT,PLACE
750177270,18,PLACE JEAN MARAIS,PLACE
750177175,13,PLACE JEAN-MICHEL BASQUIAT,PLACE
750173551,16,PLACE JEAN MONNET,PLACE
750177900,18,PLACE JEANNE BOHEC,PLACE
750161975,13,PLACE JEANNE D'ARC,PLACE
750179534,6,PLACE JEAN-PAUL SARTRE-SIMONE DE BEAUVOIR,PLACE
750165667,8,PLACE JEAN PIERRE LEVY,PLACE
750164501,14,PLACE JEAN PRONTEAU,PLACE
750017318,19,PLACE JEAN ROSTAND,PLACE
750142104,13,PLACE JEAN VILAR,PLACE
750173150,15,PLACE JENNY ALPHA,PLACE
750181031,7,PLACE JOFFRE,PLACE
750154830,10,PLACE JOHANN STRAUSS,PLACE
750124060,16,PLACE JOSE MARTI,PLACE
750164511,20,PLACE JOSEPH EPSTEIN,PLACE
750102554,14,PLACE JULES HENAFFE,PLACE
750080187,18,PLACE JULES JOFFRIN,PLACE
750171247,16,PLACE JULES RIMET,PLACE
750173162,19,PLACE JULES SENARD,PLACE
750181489,9,PLACE JULIETTE DROUET,PLACE
750359010,6,PLACE JULIETTE GRECO,PLACE
750023774,5,PLACE JUSSIEU,PLACE
750182126,13,PLACE KEITH HARING,PLACE
750042631,9,PLACE KOSSUTH,PLACE
750142403,12,PLACE LACHAMBEAUDIE,PLACE
750175675,6,PLACE LAURENT TERZIEFF ET PASCALE DE BOYSSON,PLACE
750154705,7,PLACE LE CORBUSIER,PLACE
750169339,12,PLACE LEO FERRE,PLACE
750065581,12,PLACE LEONARD BERNSTEIN,PLACE
750158852,11,PLACE LEON BLUM,PLACE
750124964,16,PLACE LEON DEUBEL,PLACE
750162582,7,PLACE LEON-PAUL FARGUE,PLACE
750042655,9,PLACE LILI ET NADIA BOULANGER,PLACE
750173240,4,PLACE LOUIS ARAGON,PLACE
750151802,12,PLACE LOUIS ARMAND,PLACE
750167753,13,PLACE LOUIS ARMSTRONG,PLACE
750172623,18,PLACE LOUIS BAILLOT,PLACE
750161545,17,PLACE LOUIS BERNIER,PLACE
750172833,18,PLACE LOUISE BLANQUART,PLACE
750182986,6,PLACE LOUISE CATHERINE BRESLAU ET MADELEINE ZILLHARDT,PLACE
750159256,4,PLACE LOUIS LEPINE,PLACE
750154125,5,PLACE LOUIS MARIN,PLACE
750024130,5,PLACE LUCIEN HERR,PLACE
750169303,15,PLACE MADELEINE RENAUD ET JEAN-LOUIS BARRAULT,PLACE
750161570,17,PLACE MAGASINS DE L'OPERA COMIQUE,PLACE
750149962,20,PLACE MARC BLOCH,PLACE
750018264,19,PLACE MARCEL ACHARD,PLACE
750081366,18,PLACE MARCEL AYME,PLACE
750152202,15,PLACE MARCEL CERDAN,PLACE
750157316,5,PLACE MARCELIN BERTHELOT,PLACE
750165611,14,PLACE MARCEL PAUL,PLACE
750012554,1,PLACE MARGUERITE DE NAVARRE,PLACE
750162830,15,PLACE MARIE MADELEINE FOURCADE,PLACE
750180501,16,PLACE MARLENE DIETRICH,PLACE
750167995,14,PLACE MARTHE SIMARD,PLACE
750185080,19,PLACE MARTINE DURLACH,PLACE
750091659,20,PLACE MARTIN NADAUD,PLACE
750024227,5,PLACE MAUBERT,PLACE
750175872,5,PLACE MAURICE AUDIN,PLACE
750161944,1,PLACE MAURICE BARRES,PLACE
750091692,20,PLACE MAURICE CHEVALIER,PLACE
750062279,12,PLACE MAURICE DE FONTENAY,PLACE
750001252,1,PLACE MAURICE QUENTIN,PLACE
750062299,12,PLACE MAZAS,PLACE
750176733,20,PLACE MELINA MERCOURI,PLACE
750164633,6,PLACE MICHEL DEBRE,PLACE
750182858,16,PLACE MIKE BRANT,PLACE
750178506,6,PLACE MIREILLE ET JACQUES RENOUVIN,PLACE
750024251,5,PLACE MONGE,PLACE
750180358,4,PLACE MONIQUE ANTOINE,PLACE
750162647,17,PLACE MONSEIGNEUR LOUTIL,PLACE
750048621,10,PLACE NAPOLEON III,PLACE
750072274,13,PLACE NATIONALE,PLACE
750082036,18,PLACE NATTIER,PLACE
750092371,20,PLACE OCTAVE CHANUTE,PLACE
750178044,3,PLACE OLYMPE DE GOUGES,PLACE
750182842,15,PLACE OUSMANE SOW,PLACE
750183341,4,PLACE OVIDA DELECT,PLACE
750173515,14,PLACE PABLO PICASSO,PLACE
750183338,3,PLACE PATRICE CHEREAU,PLACE
750028544,6,PLACE PAUL CLAUDEL,PLACE
750162507,18,PLACE PAUL ELUARD,PLACE
750167146,8,PLACE PAUL-EMILE VICTOR,PLACE
750175488,13,PLACE PAUL ET AUGUSTINE FIKET,PLACE
750359582,17,PLACE PAUL LEAUTAUD,PLACE
750156305,5,PLACE PAUL PAINLEVE,PLACE
750174736,13,PLACE PAUL RICOEUR,PLACE
750093033,20,PLACE PAUL SIGNAC,PLACE
750161506,17,PLACE PAUL TORTELIER,PLACE
750161870,13,PLACE PAUL VERLAINE,PLACE
750123212,16,PLACE PIERRE BRISSON,PLACE
750154854,6,PLACE PIERRE DUX,PLACE
750183414,4,PLACE PIERRE KAUFFMANN,PLACE
750184210,5,PLACE PIERRE LAMPUE,PLACE
750083101,18,PLACE PIERRE MAC ORLAN,PLACE
750173950,13,PLACE PIERRE RIBOULET,PLACE
750150859,20,PLACE PIERRE VAUDREY,PLACE
750043416,9,PLACE PIGALLE,PLACE
750073034,13,PLACE PINEL,PLACE
750127908,16,PLACE POSSOZ,PLACE
750165837,8,PLACE PROSPER GOUBAUX,PLACE
750116420,15,PLACE RAOUL DAUTRY,PLACE
750048970,10,PLACE RAOUL FOLLEREAU,PLACE
750179204,1,PLACE RENE CASSIN,PLACE
750174187,7,PLACE RENE CHAR,PLACE
750183774,3,PLACE RENEE VIVIEN,PLACE
750175677,7,PLACE RENE LAENNEC,PLACE
750165778,19,PLACE RHIN ET DANUBE,PLACE
750138604,17,PLACE RICHARD BARET,PLACE
750128644,16,PLACE RICHARD DE COUDENHOVE-KALERGI,PLACE
750164647,13,PLACE ROBERT ANTELME,PLACE
750049133,10,PLACE ROBERT DESNOS,PLACE
