Identificador_Dirección,Número_de_Distrito,Calle,Tipo de Vía
750157353,8,AVENUE CESAR CAIRE,AVENUE
750180550,17,AVENUE CH/17,AVENUE
750169467,16,AVENUE CHANTEMESSE,AVENUE
750059152,12,AVENUE CHARLES DE FOUCAULD,AVENUE
750030914,7,AVENUE CHARLES FLOQUET,AVENUE
750164947,8,AVENUE CHARLES GIRAULT,AVENUE
750167593,7,AVENUE CHARLES RISLER,AVENUE
750068244,13,AVENUE CLAUDE REGAUD,AVENUE
750046237,10,AVENUE CLAUDE VELLEFAUX,AVENUE
750031119,7,AVENUE CONSTANT COQUELIN,AVENUE
750153166,19,AVENUE CORENTIN CARIOU,AVENUE
750059719,12,AVENUE COURTELINE,AVENUE
750122309,16,AVENUE D'EYLAU,AVENUE
750123859,16,AVENUE D'IENA,AVENUE
750070486,13,AVENUE D'ITALIE,AVENUE
750070695,13,AVENUE D'IVRY,AVENUE
750031147,7,AVENUE DANIEL LESUEUR,AVENUE
750060061,12,AVENUE DAUMESNIL,AVENUE
750176094,14,AVENUE DAVID WEILL,AVENUE
750167667,12,AVENUE DE BEL-AIR,AVENUE
750015331,19,AVENUE DEBIDOUR,AVENUE
750120173,16,AVENUE DE BOUFFLERS,AVENUE
750050733,11,AVENUE DE BOUVINES,AVENUE
750108267,15,AVENUE DE BRETEUIL,AVENUE
750120393,16,AVENUE DE CAMOENS,AVENUE
750108870,15,AVENUE DE CHAMPAUBERT,AVENUE
750068146,13,AVENUE DE CHOISY,AVENUE
750077381,18,AVENUE DE CLICHY,AVENUE
750059625,12,AVENUE DE CORBERA,AVENUE
750016206,19,AVENUE DE FLANDRE,AVENUE
750167812,12,AVENUE DE FONTENAY,AVENUE
750182315,13,AVENUE DE FRANCE,AVENUE
750036486,8,AVENUE DE FRIEDLAND,AVENUE
750162160,12,AVENUE DE GRAVELLE,AVENUE
750118853,16,AVENUE DE L'ABBE ROUSSEL,AVENUE
750167829,12,AVENUE DE L'ECOLE DE JOINVILLE,AVENUE
750122038,16,AVENUE DE L'ERMITAGE,AVENUE
750177422,16,AVENUE DE L'HIPPODROME,AVENUE
750028461,6,AVENUE DE L'OBSERVATOIRE,AVENUE
750001611,1,AVENUE DE L'OPERA,AVENUE
750167850,12,AVENUE DE LA BELLE GABRIELLE * NOGENT FONTENAY,AVENUE
750032004,7,AVENUE DE LA BOURDONNAIS,AVENUE
750132508,17,AVENUE DE LA CHAPELLE,AVENUE
750124437,16,AVENUE DE LA FRILLIERE,AVENUE
750134800,17,AVENUE DE LA GRANDE ARMEE,AVENUE
750124479,16,AVENUE DE LAMBALLE,AVENUE
750113721,15,AVENUE DE LA MOTTE-PICQUET,AVENUE
750116164,15,AVENUE DE LA PORTE BRANCION,AVENUE
750019591,19,AVENUE DE LA PORTE BRUNET,AVENUE
750019611,19,AVENUE DE LA PORTE CHAUMONT,AVENUE
750138073,17,AVENUE DE LA PORTE D'ASNIERES,AVENUE
750147957,19,AVENUE DE LA PORTE D'AUBERVILLIERS,AVENUE
750166390,16,AVENUE DE LA PORTE D'AUTEUIL,AVENUE
750178958,13,AVENUE DE LA PORTE D'ITALIE,AVENUE
750073222,13,AVENUE DE LA PORTE D'IVRY,AVENUE
750181603,14,AVENUE DE LA PORTE D'ORLEANS,AVENUE
750152726,20,AVENUE DE LA PORTE DE BAGNOLET,AVENUE
750138099,17,AVENUE DE LA PORTE DE CHAMPERRET,AVENUE
750063320,12,AVENUE DE LA PORTE DE CHARENTON,AVENUE
750104659,14,AVENUE DE LA PORTE DE CHATILLON,AVENUE
750073147,13,AVENUE DE LA PORTE DE CHOISY,AVENUE
750358928,17,AVENUE DE LA PORTE DE CLICHY,AVENUE
750083452,18,AVENUE DE LA PORTE DE CLIGNANCOURT,AVENUE
750184149,18,AVENUE DE LA PORTE DE LA CHAPELLE,AVENUE
750360170,15,AVENUE DE LA PORTE DE LA PLAINE,AVENUE
750019643,19,AVENUE DE LA PORTE DE LA VILLETTE,AVENUE
750093814,20,AVENUE DE LA PORTE DE MENILMONTANT,AVENUE
750178528,18,AVENUE DE LA PORTE DE MONTMARTRE,AVENUE
750185313,20,AVENUE DE LA PORTE DE MONTREUIL,AVENUE
750104689,14,AVENUE DE LA PORTE DE MONTROUGE,AVENUE
750019668,19,AVENUE DE LA PORTE DE PANTIN,AVENUE
750165422,15,AVENUE DE LA PORTE DE PLAISANCE,AVENUE
750127869,16,AVENUE DE LA PORTE DE SAINT-CLOUD,AVENUE
750083546,18,AVENUE DE LA PORTE DE SAINT-OUEN,AVENUE
