Identifiant;Nom parc;INSEE;Adresse principale;URL ressource services;Type usagers;Gratuit;Nbre total places;Nbre place parc relais;Nbre place PMR;Nbre place voit elec;Nbre place vélo;Nbre place velo-2rm elec;Nbre place autopartage;Nbre place 2rm;Nbre place covoiturage;Hauteur max;Numéro SIRET;X longitude parc WGS84;Y latitude parc WGS84;Tarif PMR;Tarif_1h;Tarif_2h;Tarif_3h;Tarif_4h;Tarif_24h;Abonnement résident;Abonnement non résident;Type ouvrage;Informations;Identifiants entrées;Adresses entrées;Arrondissement;Délégataire;Téléphone;Horaire ouverture non abonnés;Ascenseur surface;Date application tarif abonnement;Abonnement mensuel;Abonnement annuel;Tarif VL petit rouleur;Tarif petit rouleur annuel mini;Tarif petit rouleur annuel maxi;Tarif VL résident;Tarif résident annuel;Date application tarif horaire;Tarif_15mn;Tarif_30mn;Tarif_1h30;Tarif_7h;Tarif_8h;Tarif_9h;Tarif_10h;Tarif_11h;Tarif_12h;Tarif abonnement PMR mensuel;Tarif abonnement PMR timestriel;Tarif abonnement PMR annuel;Date MaJ données tarif;Tarif abonnement VéhElect mensuel;Tarif abonnement VéhElect trimestriel;Tarif abonnement VéhElect annuel;Tarif moto 1ere heure;Tarif abonnement moto mensuel;Tarif abonnement moto trimestriel;Tarif abonnement moto annuel;Tarif abonnement vélo mensuel;Coord X entrées LB93;Coord Y entrées LB93;Code zones résidentielles;Tarif_15mn Moto;Tarif_30mn Moto;Tarif_24h Moto;Tarif moto petit rouleur;Tarif moto petit rouleur annuel mini;Tarif moto petit rouleur annuel maxi;Tarif moto résident;Tarif moto résident annuel;Parc amodié;Tarif abonnement place attribuée annuel;Parc relais;Tarif abonnement parc relais annuel;Tarif résident mensuel;Parc affilié au dispositif Pass 2RM;Tarif horaire préférentiel Moto Pass 2RM;Tarif de l'abonnement au Pass 2RM mensuel;Tarif de l'abonnement au Pass 2RM trimestriel;Tarif de l'abonnement au Pass 2RM annuel;geo_shape;geo_point_2d
75114-P-117;MAINE BASCH ALESIA;75114;204 ter avenue du maine, 75014, Paris;https://fr.parkindigo.com/parking/paris-75014/alesia-75140400;tous;0;482;0;10;2;5;0;8;48;0;185;6,92007E+13;232.571.957;4.883.027.508;tarif_special;4.6;9.2;13.8;18.4;41.4;;212.0;ouvrage;autre entree = 205 ter avenue du Maine, 75014, Paris,tarif PMR = 2,30 euros;117-E-A,117-E-B;204 TER AVENUE DU MAINE,205 TER AVENUE DU MAINE;14;INDIGO;143205699;24h / 24;OUI;2023-04-01T04:00:00+02:00;212.0;2204.0;NON;;;NON;;2023-01-01T02:00:00+01:00;1.15;2.3;6.9;32.2;36.8;41.4;41.4;41.4;41.4;106.0;300.0;1102.0;2023-06-01T04:00:00+02:00;106.0;300.0;1102.0;1.6;74.0;210.0;771.0;10.0;650501.127 | 650564.891;6859124.466 | 6858956.508;;0.4;0.8;14.4;NON;;;NON;;NON;2755.0;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.3257195693833568, 48.83027507537192], ""type"": ""Point""}";48.83027507537192, 2.3257195693833568
75117-P-079;PEREIRE;75117;211 m boulevard pereire, 75017, Paris;https://www.saemes.fr/fr/parking/parking-pereire;abonnés;0;277;0;0;0;0;0;0;21;0;200;3,17033E+13;229.020.357;4.888.102.649;;;;;;;;205.0;ouvrage;;79-E-A;211 M BOULEVARD PEREIRE;17;SAEMES;144829999;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;205.0;2050.0;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;;;2023-06-01T04:00:00+02:00;;;;;;341.0;1262.0;;647.944.696;6.864.790.388;;;;;NON;;;NON;;NON;3141.0;NON;;;NON;;;;;"{""coordinates"": [2.290203571278933, 48.88102649263223], ""type"": ""Point""}";48.88102649263223, 2.290203571278933
75115-P-157;FREMICOURT;75115;13 ter rue fremicourt, 75015, Paris;https://fr.parkindigo.com/parking/paris-75015/fremicourt-75150700;abonnés;0;204;0;5;2;21;0;0;31;0;190;7,22044E+13;229.739.674;4.884.734.233;tarif_special;;;;;;190.4;238.0;ouvrage;tarif petit rouleur -25 % = contacter le parc;157-E-A;13 TER RUE FREMICOURT;15;INDIGO;145484330;POUR ABONNES;OUI;1900-01-01T01:09:21+01:00;238.0;2475.0;OUI;1485.0;1980.0;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;119.0;339.0;1237.0;2023-06-01T04:00:00+02:00;119.0;339.0;1237.0;;83.0;237.0;866.0;10.0;648438.89;6.861.040.282;15E,15F,15G,15K,15L,15M,15P;;;;NON;;;NON;;NON;3093.0;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.2973967390766172, 48.847342332945004], ""type"": ""Point""}";48.847342332945004, 2.2973967390766172
75105-P-050;SOUFFLOT;75105;18 m rue soufflot, 75005, Paris;https://fr.parkindigo.com/parking/paris-75005/soufflot-pantheon-75050100;tous;0;689;0;13;6;8;0;0;32;0;190;6,92007E+13;234.241.862;4.884.708.752;tarif_special;4.8;9.6;14.4;19.2;43.2;;261.0;ouvrage;autre entree = 19 ter rue Soufflot, 75005, Paris,tarif PMR = 2,40 euros;50-E-A,50-E-B;18 M RUE SOUFFLOT,19 TER RUE SOUFFLOT;5;INDIGO;143261554;24h / 24;OUI;2023-04-01T04:00:00+02:00;261.0;2714.0;NON;;;NON;;2023-01-01T02:00:00+01:00;1.2;2.4;7.2;33.6;38.4;43.2;43.2;43.2;43.2;130.0;369.0;1357.0;2023-06-01T04:00:00+02:00;130.0;369.0;1357.0;1.65;91.0;258.0;949.0;10.0;651742.542 | 651678.248;6860983.493 | 6860986.007;;0.45;0.85;14.85;NON;;;NON;;NON;3392.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.34241861601947, 48.84708752288243], ""type"": ""Point""}";48.84708752288243, 2.34241861601947
75110-P-131;EURONORD LARIBOISIERE;75110;10 ter rue ambroise pare, 75010, Paris;https://fr.parkindigo.com/parking/paris-75010/euronord-lariboisiere-75100400;tous;0;482;0;10;0;6;0;40;32;0;190;3,39796E+13;235.217.631;4.888.204.018;tarif_special;5.0;10.0;15.0;20.0;45.0;183.0;229.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,50 euros;131-E-A;10 TER RUE AMBROISE PARE;10;INDIGO;141720265;24h / 24;OUI;2023-04-01T04:00:00+02:00;229.0;2381.0;OUI;1428.0;1904.0;NON;;2023-01-01T02:00:00+01:00;1.25;2.5;7.5;35.0;40.0;45.0;45.0;45.0;45.0;114.0;324.0;1190.0;2023-06-01T04:00:00+02:00;114.0;324.0;1190.0;1.75;80.0;225.0;833.0;10.0;652.490.493;6.864.864.032;10E,10F,10G,19E,19F,19G,19H,19J,19K,19L,19M,19N,19P;0.45;0.9;15.75;OUI;499.5;666.0;NON;;NON;2976.0;NON;;;NON;;;;;"{""coordinates"": [2.3521763133167757, 48.882040177817316], ""type"": ""Point""}";48.882040177817316, 2.3521763133167757
75116-P-138;VERSAILLES REYNAUD;75116;178 ter avenue de versailles, 75016, Paris;https://fr.parkindigo.com/parking/paris-75016/versailles-reynaud-75160900;tous;0;263;0;1;0;0;0;0;20;0;190;6,92007E+13;226.260.484;4.883.966.022;;5.2;10.4;15.6;20.8;46.8;;228.0;ouvrage;;138-E-A;178 TER AVENUE DE VERSAILLES;16;INDIGO;145484330;24h / 24;OUI;2023-04-01T04:00:00+02:00;228.0;2371.0;NON;;;NON;;2023-01-01T02:00:00+01:00;1.3;2.6;7.8;36.4;41.6;46.8;46.8;46.8;46.8;;;;2023-06-01T04:00:00+02:00;;;;;96.0;273.0;998.0;;645.877.754;6.860.209.397;;;;;NON;;;NON;;NON;2963.0;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.262604842173847, 48.83966021438691], ""type"": ""Point""}";48.83966021438691, 2.262604842173847
75107-P-063;SUFFREN;75107;8 ter place joffre, 75007, Paris;https://fr.parkindigo.com;abonnés;0;162;0;0;0;0;0;0;0;0;190;7,22054E+13;230.187.526;4.885.199.765;;;;;;;;;ouvrage;abonnes tres longue duree;63-M-A;8 TER PLACE JOFFRE;7;INDIGO;145484330;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;;;2023-06-01T04:00:00+02:00;;;;;;;;;648.772.118;6.861.554.991;;;;;NON;;;NON;;OUI;;NON;;;NON;;;;;"{""coordinates"": [2.301875262082592, 48.85199764542904], ""type"": ""Point""}";48.85199764542904, 2.301875262082592
75105-P-076;PATRIARCHES;75105;42 ter rue daubenton, 75005, Paris;https://fr.parkindigo.com/parking/paris-75005/patriarches-75050300;tous;0;344;0;7;3;10;0;0;10;0;190;5,04727E+13;23.508.884;4.884.034.371;tarif_special;4.8;9.6;14.4;19.2;43.2;244.0;306.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,40 euros;76-E-A;42 TER RUE DAUBENTON;5;INDIGO;143374353;24h / 24;OUI;2023-05-01T04:00:00+02:00;306.0;3182.0;OUI;1908.75;2545.0;NON;;2023-02-01T02:00:00+01:00;1.2;2.4;7.2;33.6;38.4;43.2;43.2;43.2;43.2;153.0;435.0;1591.0;2023-06-01T04:00:00+02:00;153.0;435.0;1591.0;1.65;107.0;303.0;1113.0;10.0;652357.93;6.860.228.506;5E,5F,5G,5H,5J,6E,6G,13H,13J,13K,14P;0.45;0.85;14.85;OUI;668.25;891.0;NON;;NON;3977.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3508884042109237, 48.84034371247261], ""type"": ""Point""}";48.84034371247261, 2.3508884042109237
75116-P-012;FOCH;75116;4 ter avenue foch, 75016, Paris;https://fr.parkindigo.com/parking/paris-75016/foch-75161300;tous;0;2024;150;14;0;5;0;0;40;0;190;3,94188E+13;229.199.298;4.887.364.988;tarif_special;5.0;10.0;15.0;20.0;47.5;229.0;328.0;ouvrage;autres entrees = 37 ter avenue Foch, 75116, Paris et 45 M avenue Foch, 75116, Paris,tarif PMR = 2,50 euros;12-E-A,12-E-B,12-E-C;4 TER AVENUE FOCH,37 TER AVENUE FOCH,45 M AVENUE FOCH;16;INDIGO;141720260;24h / 24;OUI;2023-04-01T04:00:00+02:00;328.0;3411.0;NON;;;OUI;2387.0;2023-01-01T02:00:00+01:00;2.25;3.4;7.5;35.0;40.0;45.0;47.5;47.5;47.5;164.0;465.0;1705.0;2023-06-01T04:00:00+02:00;164.0;465.0;1705.0;1.75;114.0;324.0;1193.0;10.0;648068.57 | 647549.122 | 647421.99;6863968.985 | 6863823.167 | 6863833.883;1E,2E,3E,4E,34F,5E,5F,5G,5H,5J,6E,6F,6G,7E,7F,7G,7H,7J,7K,7L,;0.8;1.2;16.55;NON;;;NON;;NON;4222.0;OUI;75.0;229.0;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.291992978162306, 48.873649880980004], ""type"": ""Point""}";48.873649880980004, 2.291992978162306
75109-P-113;MILTON;75109;31 ter rue milton, 75009, Paris;https://www.saemes.fr/fr/parking/parking-milton;abonnés;0;99;0;0;0;0;0;0;0;0;190;3,17033E+13;234.197.019;4.887.905.983;;;;;;;;;ouvrage;abonnes tres longue duree;113-M-A;31 TER RUE MILTON;9;SAEMES;144829999;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;;;2023-06-01T04:00:00+02:00;;;;;;;;;651.739.261;6.864.538.826;;;;;NON;;;NON;;OUI;;NON;;;NON;;;;;"{""coordinates"": [2.341970189558743, 48.87905983338858], ""type"": ""Point""}";48.87905983338858, 2.341970189558743
75117-P-072;MAIRIE DU 17 EME;75117;20 rue des batignolles, 75017, Paris;https://www.saemes.fr/fr/parking/parking-mairie-du-17eme;tous;0;323;0;7;2;55;0;3;37;0;180;3,17033E+13;232.145.852;4.888.469.716;;4.3;8.6;12.9;17.2;38.7;;240.0;ouvrage;;72-M-A;20 RUE DES BATIGNOLLES;17;SAEMES;153043010;24h / 24;OUI;2023-01-01T02:00:00+01:00;240.0;2400.0;NON;;;NON;;2023-01-01T02:00:00+01:00;1.1;2.2;6.5;30.1;34.4;38.7;38.7;38.7;38.7;;;;2023-06-01T04:00:00+02:00;;;;1.5;96.0;259.0;960.0;18.0;650.240.332;6.865.178.391;;0.4;0.8;13.5;NON;;;OUI;720.0;NON;3000.0;NON;;;NON;;;;;"{""coordinates"": [2.32145851574038, 48.884697154361], ""type"": ""Point""}";48.884697154361, 2.32145851574038
75115-P-049;PORTE DE VERSAILLES;75115;40 ter boulevard victor, 75015, Paris;https://www.sags.fr/parking-paris/paris-porte-de-versailles.html;tous;0;474;0;10;4;10;0;2;20;0;190;3,89338E+13;228.540.134;4.883.364.524;tarif_special;4.7;9.4;14.1;18.8;51.7;194.4;243.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,35 euros;49-E-A;40 TER BOULEVARD VICTOR;15;SAGS;153684609;24h / 24;OUI;2023-04-01T04:00:00+02:00;243.0;2430.0;OUI;1360.8;1944.0;NON;;2022-04-01T04:00:00+02:00;1.15;2.3;7.0;32.9;37.6;42.3;47.0;51.7;51.7;121.5;340.2;1215.0;2023-06-01T04:00:00+02:00;116.2;325.36;1162.0;1.6;85.05;238.14;850.5;10.0;647.544.839;6.859.525.217;15N,15P,15S,15T,15U,15V,15W,15X;0.4;0.8;17.6;OUI;476.28;680.4;NON;;NON;3037.5;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.285401343248497, 48.83364523458729], ""type"": ""Point""}";48.83364523458729, 2.285401343248497
75108-P-107;CHAMPS ELYSEES;75108;64 avenue des champs elysees, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/champs-elysees-75080600;tous;0;826;0;11;10;0;0;0;40;0;190;7,22054E+13;2.305.418;48.870.672;;5.2;10.4;15.6;20.8;46.8;196.0;281.0;ouvrage;autre entree = 113 avenue Champs Elysees, 75008, Paris;107-E-A,107-E-B;64 AVENUE DES CHAMPS ELYSEES,113 AVENUE CHAMPS ELYSEES;8;INDIGO;145614079;24h / 24;OUI;2023-04-01T04:00:00+02:00;281.0;2922.0;NON;;;OUI;2045.0;2023-01-01T02:00:00+01:00;1.3;2.6;7.8;36.4;41.6;46.8;46.8;46.8;46.8;;;;2023-06-01T04:00:00+02:00;140.0;399.0;1461.0;;98.0;279.0;1022.0;;649050.34 | 648613.909;6863629.122 | 6863799.249;8E,8F,8G,8H,8J,16E,16F,16G,16H,16I,16J,17E;;;;NON;;;NON;;NON;3652.0;NON;;196.0;NON;;;;;"{""coordinates"": [2.30541799694068, 48.870671999237146], ""type"": ""Point""}";48.870671999237146, 2.30541799694068
75117-P-004;VILLIERS;75117;14 ter avenue de villiers, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/villiers-75171800;tous;0;388;0;4;2;10;0;0;9;0;190;6,42021E+13;231.430.614;4.888.185.618;tarif_special;5.0;10.0;15.0;20.0;45.0;274.0;343.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,50 euros;4-E-A;14 TER AVENUE DE VILLIERS;17;INDIGO;141720271;24h / 24;OUI;2023-05-01T04:00:00+02:00;343.0;3567.0;OUI;2139.75;2853.0;NON;;2023-02-01T02:00:00+01:00;1.25;2.5;7.5;35.0;40.0;45.0;45.0;45.0;45.0;171.0;486.0;1783.0;2023-06-01T04:00:00+02:00;171.0;486.0;1783.0;1.75;120.0;339.0;1248.0;10.0;649.713.095;6.864.867.024;17G,17H,17J,17K,17L,17M,17N;0.45;0.9;15.75;OUI;748.5;998.0;NON;;NON;;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.314306143686253, 48.881856179481495], ""type"": ""Point""}";48.881856179481495, 2.314306143686253
75114-P-033;MAIRIE DU 14 EME;75114;1 ter rue charles divry, 75014, Paris;https://www.saemes.fr/fr/parking/parking-mairie-du-14eme;abonnés;0;161;0;0;2;0;0;0;0;0;190;3,17033E+13;232.738.266;4.883.305.564;tarif_special;;;;;;210.4;263.0;ouvrage;tarif petit rouleur -25 % = contacter le parc;33-E-A;1 TER RUE CHARLES DIVRY;14;SAEMES;144829999;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;263.0;2630.0;OUI;1578.0;2104.0;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;131.5;375.0;1315.0;2023-06-01T04:00:00+02:00;131.5;375.0;1315.0;;;;;;650.625.845;6.859.432.591;14H,14J,14L,14M,14N,14P;;;;NON;;;NON;;NON;3290.0;NON;;;NON;;;;;"{""coordinates"": [2.327382660073588, 48.833055635113055], ""type"": ""Point""}";48.833055635113055, 2.327382660073588
75118-P-105;CARPEAUX;75118;5 ter rue carpeaux, 75018, Paris;https://www.saemes.fr/fr/parking/parking-carpeaux;abonnés;0;97;0;1;0;0;0;0;5;0;190;3,17033E+13;232.973.617;4.889.029.795;tarif_special;;;;;;;188.0;ouvrage;abonnements avec reservation uniquement;105-M-A;5 TER RUE CARPEAUX;18;SAEMES;144829999;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;236.0;;2023-06-01T04:00:00+02:00;;;;;76.0;210.0;760.0;;650.852.631;6.865.795.982;;;;;NON;;;NON;;NON;1880.0;NON;;;NON;;;;;"{""coordinates"": [2.329736165955496, 48.890297949678924], ""type"": ""Point""}";48.890297949678924, 2.329736165955496
75107-P-075;CHAMPAGNY;75107;15 m rue casimir perier, 75007, Paris;https://www.saemes.fr/fr/parking/parking-champagny;abonnés;0;111;0;0;0;0;0;0;0;0;190;3,17033E+13;23.193.649;4.885.807.027;;;;;;;;326.33;ouvrage;abonnements avec reservation uniquement;75-E-A;15 M RUE CASIMIR PERIER;7;SAEMES;144829999;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;;;2023-06-01T04:00:00+02:00;;;;;;;;;650.061.283;6.862.219.006;;;;;NON;;;NON;;NON;3627.0;NON;;;NON;;;;;"{""coordinates"": [2.3193649002455214, 48.8580702696342], ""type"": ""Point""}";48.8580702696342, 2.3193649002455214
75107-P-042;BAC MONTALEMBERT;75107;39 rue du bac, 75007, Paris;https://www.saemes.fr/fr/parking/parking-bac-montalembert;tous;0;417;0;9;3;0;0;0;13;0;190;3,17033E+13;232.697.691;4.885.659.157;tarif_special;4.6;9.2;13.8;18.4;41.4;200.0;380.0;ouvrage;tarif PMR = 2,30 euros;42-E-A;39 RUE DU BAC;7;SAEMES;142221566;24h / 24;OUI;2022-03-24T02:00:00+01:00;380.0;3800.0;NON;;;OUI;2000.0;2022-03-24T02:00:00+01:00;1.15;2.3;6.9;32.2;36.8;41.4;41.4;41.4;41.4;0.0;0.0;0.0;2023-06-01T04:00:00+02:00;190.0;532.0;1900.0;1.6;133.0;372.0;1330.0;10.0;650.618.367;6.862.049.801;1E,6E,7G,7J,7L,7M,8E;0.4;0.8;14.4;NON;;;OUI;700.0;NON;4750.0;NON;;200.0;NON;;;;;"{""coordinates"": [2.3269769107335483, 48.856591573175265], ""type"": ""Point""}";48.856591573175265, 2.3269769107335483
75102-P-048;BOURSE;75102;12 quater place de la bourse, 75002, Paris;https://www.sags.fr/parking-paris/paris-bourse.html;tous;0;899;0;3;3;0;0;2;64;0;190;3,89338E+13;234.077.428;4.886.963.785;tarif_special;4.8;9.6;14.4;19.2;43.2;150.0;380.0;ouvrage;;48-M-A;12 QUATER PLACE DE LA BOURSE;2;SAGS;186222327;24h / 24;PREVU;2023-06-01T04:00:00+02:00;380.0;3800.0;NON;;;OUI;1500.0;2023-06-01T04:00:00+02:00;1.2;2.4;7.2;33.6;38.4;43.2;43.2;43.2;43.2;0.0;0.0;0.0;2023-06-01T04:00:00+02:00;266.0;758.1;2660.0;1.6;133.0;379.1;1330.0;10.0;651.642.807;6863491.9;1E,2E,3E,9G,10F;0.4;0.8;14.4;NON;;;OUI;525.0;NON;4750.0;NON;;150.0;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.340774282145232, 48.86963785246203], ""type"": ""Point""}";48.86963785246203, 2.340774282145232
75116-P-053;PLACE VICTOR HUGO;75116;76 ter avenue victor hugo, 75016, Paris;https://fr.parkindigo.com/parking/paris-75016/place-victor-hugo-75160400;tous;0;530;0;6;6;5;0;0;26;0;190;7,22054E+13;228.454.072;4.886.938.969;tarif_special;5.0;10.0;15.0;20.0;45.0;;348.0;ouvrage;tarif PMR = 2,50 euros;53-E-A;76 TER AVENUE VICTOR HUGO;16;INDIGO;141720260;24h / 24;OUI;2023-04-01T04:00:00+02:00;348.0;3619.0;NON;;;NON;;2023-01-01T02:00:00+01:00;1.25;2.5;7.5;35.0;40.0;45.0;45.0;45.0;45.0;174.0;495.0;1809.0;2023-06-01T04:00:00+02:00;174.0;495.0;1809.0;1.75;121.0;345.0;1266.0;10.0;647.517.679;6.863.500.213;;0.45;0.9;15.75;NON;;;NON;;NON;;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.2845407217105884, 48.86938968994927], ""type"": ""Point""}";48.86938968994927, 2.2845407217105884
75106-P-086;MARCHE SAINT GERMAIN;75106;2 ter rue lobineau, 75006, Paris;https://www.saemes.fr/fr/parking/parking-marche-saint-germain;abonnés;0;113;0;0;0;0;0;0;1;0;190;3,17033E+13;23.366.929;4.885.179.163;;;;;;;;295.0;ouvrage;abonnements avec reservation uniquement;86-E-A;2 TER RUE LOBINEAU;6;SAEMES;144829999;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;;;2023-06-01T04:00:00+02:00;;;;;;;;;651.326.757;6.861.510.059;;;;;NON;;;NON;;NON;2950.0;NON;;;NON;;;;;"{""coordinates"": [2.3366929044931606, 48.85179163089182], ""type"": ""Point""}";48.85179163089182, 2.3366929044931606
75113-P-150;BORDS DE SEINE FREYSSINET (RIVE GAUCHE);75113;25 ter rue abel gance, 75013, Paris;https://fr.parkindigo.com/parking/paris-75013/bords-de-seine-freyssinet-75131000;tous;0;390;0;10;3;16;0;5;32;0;190;3,04646E+13;23.730.091;4.883.515.677;tarif_special;4.2;8.4;12.6;16.8;37.8;198.0;248.0;ouvrage;tarif petit rouleur -25 % = contacter le parc;150-E-A;25 TER RUE ABEL GANCE;13;INDIGO;144066050;24h / 24;OUI;2023-05-01T04:00:00+02:00;248.0;2579.0;OUI;1547.25;2063.0;NON;;2023-02-01T02:00:00+01:00;1.05;2.1;6.3;29.4;33.6;37.8;37.8;37.8;37.8;124.0;351.0;1289.0;2023-06-01T04:00:00+02:00;124.0;351.0;1289.0;1.45;86.0;246.0;902.0;10.0;653.976.882;6.859.638.653;5F,12E,12F,13J,13K,13L,13M,13N,13P,13R,13S;0.4;0.75;13.05;OUI;538.5;718.0;NON;;NON;3223.0;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.37300909944078, 48.8351567729588], ""type"": ""Point""}";48.8351567729588, 2.37300909944078
75118-P-068;FIRMIN GEMIER;75118;5 ter rue firmin gemier, 75018, Paris;https://www.sags.fr/parking-paris/paris-firmin-gemier.html;abonnés;0;127;0;0;0;0;0;0;7;0;195;3,89338E+13;23.301.107;4.889.477.662;tarif_special;;;;;;100.0;200.0;ouvrage;;68-M-A;5 TER RUE FIRMIN GEMIER;18;SAGS;?;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;200.0;2000.0;NON;;;OUI;1000.0;1900-01-01T01:09:21+01:00;;;;;;;;;;0.0;0.0;0.0;2023-06-01T04:00:00+02:00;130.0;351.0;1300.0;;70.0;189.0;700.0;10.0;650.884.318;6.866.293.753;17S,17U,18E,18P,18R;;;;NON;;;OUI;350.0;NON;2500.0;NON;;100.0;OUI;;70.0;199.0;770.0;"{""coordinates"": [2.3301106973824504, 48.894776619487125], ""type"": ""Point""}";48.894776619487125, 2.3301106973824504
75113-P-152;CITE DE LA MODE AUSTERLITZ (RIVE GAUCHE);75113;29 ter quai d austerlitz, 75013, Paris;https://fr.parkindigo.com/parking/paris-75013/cite-de-la-mode-austerlitz-75130900;tous;0;345;0;7;4;16;0;6;22;0;190;3,04646E+13;237.111.402;4.883.941.726;tarif_special;4.2;8.4;12.6;16.8;37.8;198.0;248.0;ouvrage;tarif petit rouleur -25 % = contacter le parc;152-M-A;29 TER QUAI D AUSTERLITZ;13;INDIGO;144066050;24h / 24;OUI;2023-05-01T04:00:00+02:00;248.0;2579.0;OUI;1547.25;2063.0;NON;;2023-02-01T02:00:00+01:00;1.05;2.1;6.3;29.4;33.6;37.8;37.8;37.8;37.8;124.0;351.0;1289.0;2023-06-01T04:00:00+02:00;124.0;351.0;1289.0;1.45;86.0;246.0;902.0;10.0;653.841.553;6.860.113.481;5F,12E,12F,13J,13K,13L,13M,13N,13P,13R,13S;0.4;0.75;13.05;OUI;538.5;718.0;NON;;NON;3223.0;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.371114018953064, 48.83941726097783], ""type"": ""Point""}";48.83941726097783, 2.371114018953064
75106-P-160;SAINT GERMAIN (GARAGE);75106;169 ter boulevard saint germain, 75006, Paris;https://fr.parkindigo.com/parking/paris-75000/garage-saint-germain-des-pres-75061300;abonnés;0;282;0;0;0;0;0;0;0;0;190;6,92007E+13;233.113.826;4.885.421.111;tarif_special;;;;;;274.0;343.0;ouvrage;tarif petit rouleur -25 % = contacter le parc;160-E-A;169 TER BOULEVARD SAINT GERMAIN;6;INDIGO;145491855;POUR ABONNES;OUI;1900-01-01T01:09:21+01:00;343.0;3567.0;OUI;2139.75;2853.0;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;171.0;486.0;1783.0;2023-06-01T04:00:00+02:00;171.0;486.0;1783.0;;;;;10.0;650.921.448;6.861.782.521;1E,4E,5E,5H,5J,6E,6F,6G,7L,7M,7N;;;;NON;;;NON;;NON;4780.0;NON;;;NON;;;;;"{""coordinates"": [2.3311382642263347, 48.8542111121565], ""type"": ""Point""}";48.8542111121565, 2.3311382642263347
75117-P-154;CARDINET;75117;149 ter rue cardinet, 75017, Paris;https://www.sags.fr/parking-paris/-cardinet.html;abonnés;0;599;0;12;9;24;0;0;17;0;195;3,17033E+13;231.692.093;4.889.006.559;tarif_special;;;;;;135.0;250.0;ouvrage;;154-E-A;149 TER RUE CARDINET;17;SAGS;186220768;POUR ABONNES;OUI;1900-01-01T01:09:21+01:00;250.0;2500.0;NON;;;OUI;1350.0;1900-01-01T01:09:21+01:00;;;;;;;;;;0.0;0.0;0.0;2023-06-01T04:00:00+02:00;175.0;498.75;1750.0;;87.5;249.0;875.0;10.0;649.912.748;6.865.778.197;17K,17P,17R,17S,17T;;;;NON;;;OUI;472.5;NON;3125.0;NON;;135.0;OUI;;70.0;199.0;770.0;"{""coordinates"": [2.3169209259294323, 48.89006558475737], ""type"": ""Point""}";48.89006558475737, 2.3169209259294323
