Identifiant;Nom parc;INSEE;Adresse principale;URL ressource services;Type usagers;Gratuit;Nbre total places;Nbre place parc relais;Nbre place PMR;Nbre place voit elec;Nbre place vélo;Nbre place velo-2rm elec;Nbre place autopartage;Nbre place 2rm;Nbre place covoiturage;Hauteur max;Numéro SIRET;X longitude parc WGS84;Y latitude parc WGS84;Tarif PMR;Tarif_1h;Tarif_2h;Tarif_3h;Tarif_4h;Tarif_24h;Abonnement résident;Abonnement non résident;Type ouvrage;Informations;Identifiants entrées;Adresses entrées;Arrondissement;Délégataire;Téléphone;Horaire ouverture non abonnés;Ascenseur surface;Date application tarif abonnement;Abonnement mensuel;Abonnement annuel;Tarif VL petit rouleur;Tarif petit rouleur annuel mini;Tarif petit rouleur annuel maxi;Tarif VL résident;Tarif résident annuel;Date application tarif horaire;Tarif_15mn;Tarif_30mn;Tarif_1h30;Tarif_7h;Tarif_8h;Tarif_9h;Tarif_10h;Tarif_11h;Tarif_12h;Tarif abonnement PMR mensuel;Tarif abonnement PMR timestriel;Tarif abonnement PMR annuel;Date MaJ données tarif;Tarif abonnement VéhElect mensuel;Tarif abonnement VéhElect trimestriel;Tarif abonnement VéhElect annuel;Tarif moto 1ere heure;Tarif abonnement moto mensuel;Tarif abonnement moto trimestriel;Tarif abonnement moto annuel;Tarif abonnement vélo mensuel;Coord X entrées LB93;Coord Y entrées LB93;Code zones résidentielles;Tarif_15mn Moto;Tarif_30mn Moto;Tarif_24h Moto;Tarif moto petit rouleur;Tarif moto petit rouleur annuel mini;Tarif moto petit rouleur annuel maxi;Tarif moto résident;Tarif moto résident annuel;Parc amodié;Tarif abonnement place attribuée annuel;Parc relais;Tarif abonnement parc relais annuel;Tarif résident mensuel;Parc affilié au dispositif Pass 2RM;Tarif horaire préférentiel Moto Pass 2RM;Tarif de l'abonnement au Pass 2RM mensuel;Tarif de l'abonnement au Pass 2RM trimestriel;Tarif de l'abonnement au Pass 2RM annuel;geo_shape;geo_point_2d
75109-P-045;MONTHOLON;75109;3 m rue mayran, 75009, Paris;https://fr.parkindigo.com/parking/paris-75009/montholon-75091600;tous;0;423;0;9;3;8;2;0;37;0;190;3,04646E+13;234.595.065;4.887.687.366;tarif_special;4.4;8.8;13.2;17.6;39.6;177.0;253.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,20 euros;45-E-A;3 M RUE MAYRAN;9;INDIGO;142853757;24h / 24;OUI;2023-05-01T04:00:00+02:00;253.0;2631.0;OUI;1380.75;1841.0;NON;;2023-02-01T02:00:00+01:00;1.1;2.2;6.6;30.8;35.2;39.6;39.6;39.6;39.6;126.0;360.0;1315.0;2023-06-01T04:00:00+02:00;126.0;360.0;1315.0;1.5;88.0;252.0;920.0;10.0;652.029.173;6.864.293.312;9E,9F,9G,10F,10G;0.4;0.8;13.5;OUI;546.0;728.0;NON;;NON;3472.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3459506534003034, 48.876873654431776], ""type"": ""Point""}";48.876873654431776, 2.3459506534003034
75108-P-125;CHAMPS ELYSEES PIERRE CHARRON;75108;67 ter rue pierre charron, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/pierre-charron-champs-elysees-75081900;tous;0;398;0;8;9;0;0;0;10;0;195;3,93422E+13;230.459.026;4.887.021.579;tarif_special;5.4;10.8;16.2;21.6;48.6;243.0;304.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,70 euros;125-E-A;67 TER RUE PIERRE CHARRON;8;INDIGO;140740960;24h / 24;OUI;2023-04-01T04:00:00+02:00;304.0;3161.0;OUI;1896.0;2528.0;NON;;2023-01-01T02:00:00+01:00;1.35;2.7;8.1;37.8;43.2;48.6;48.6;48.6;48.6;152.0;432.0;1580.0;2023-06-01T04:00:00+02:00;152.0;432.0;1580.0;1.85;106.0;300.0;1106.0;10.0;648.989.178;6.863.578.929;7E,7G,8E,8F,8H,16G,16H,16I,16K;0.5;0.95;16.65;OUI;663.0;884.0;NON;;NON;6323.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3045902622131673, 48.870215785090906], ""type"": ""Point""}";48.870215785090906, 2.3045902622131673
75105-P-070;GAY LUSSAC;75105;45 ter rue gay lussac, 75005, Paris;https://www.saemes.fr/fr/parking/parking-gay-lussac;abonnés;0;103;0;0;0;0;0;0;7;0;195;3,17033E+13;234.332.861;4.884.187.546;;;;;;;;174.0;ouvrage;abonnements avec reservation uniquement;70-E-A;45 TER RUE GAY LUSSAC;5;SAEMES;144829999;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;;;2023-06-01T04:00:00+02:00;;;;;;244.0;;;651.804.502;6.860.403.408;;;;;NON;;;NON;;NON;1740.0;NON;;;NON;;;;;"{""coordinates"": [2.3433286110649307, 48.841875458241496], ""type"": ""Point""}";48.841875458241496, 2.3433286110649307
75108-P-002;MALESHERBES ANJOU;75108;20 ter boulevard malesherbes, 75008, Paris;https://www.sags.fr/parking-paris/paris-malesherbes-anjou.html;tous;0;859;0;12;18;110;3;0;103;0;190;3,89338E+13;232.170.183;4.887.250.966;tarif_special;5.0;10.0;15.0;20.0;45.0;250.0;313.0;ouvrage;tarif petit rouleur -30 % = contacter le parc,autre entree = 35 ter boulevard Malesherbes, 75008, Paris,tarif PMR = 2,50 euros;2-E-A,2-E-B;20 TER BOULEVARD MALESHERBES,35 TER BOULEVARD MALESHERBES;8;SAGS;142650611;24h / 24;NON;2023-01-01T02:00:00+01:00;313.0;3130.0;OUI;1750.0;2500.0;NON;;2022-12-01T02:00:00+01:00;1.25;2.5;7.5;35.0;40.0;45.0;45.0;45.0;45.0;156.5;438.2;1565.0;2023-06-01T04:00:00+02:00;156.5;438.2;1565.0;1.6;109.0;305.2;1090.0;10.0;650246.533 | 650190.044;6863823.072 | 6863891.07;1E,2E,8H,8J,8K,8L;0.4;0.8;14.4;OUI;612.5;875.0;NON;;NON;3910.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.321701826579308, 48.87250965875043], ""type"": ""Point""}";48.87250965875043, 2.321701826579308
75110-P-126;RECOLLETS;75110;3 ter passage des recollets, 75010, Paris;https://www.saemes.fr/fr/parking/parking-recollets;abonnés;0;100;0;0;0;0;0;1;9;0;200;3,17033E+13;235.911.877;4.887.418.354;;;;;;;;185.0;ouvrage;;126-M-A;3 TER PASSAGE DES RECOLLETS;10;SAEMES;144829999;POUR ABONNES;OUI;1900-01-01T01:09:21+01:00;185.0;1850.0;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;;;2023-06-01T04:00:00+02:00;;;;;93.0;255.0;930.0;;652.992.531;6863986.27;;;;;NON;;;NON;;NON;3420.0;NON;;;NON;;;;;"{""coordinates"": [2.3591187731615935, 48.87418353879623], ""type"": ""Point""}";48.87418353879623, 2.3591187731615935
75112-P-127;LYON DIDEROT;75112;196 rue de  bercy, 75012, Paris;https://www.effia.com/parking/parking-paris-gare-de-lyon-diderot-effia;tous;0;305;0;6;5;0;0;0;78;0;190;3,17033E+13;237.216.992;4.884.468.165;;5.0;9.8;14.4;18.8;38.2;;291.67;ouvrage;;127-E-A;196 RUE DE  BERCY;12;SAEMES;153176308;24h / 24;OUI;2023-01-01T02:00:00+01:00;;;NON;;;NON;;2023-01-01T02:00:00+01:00;1.3;2.6;7.4;31.0;34.6;38.2;38.2;38.2;38.2;;;;2023-06-01T04:00:00+02:00;;;;2.3;108.6;;;;653.923.706;6.860.698.212;;0.6;1.2;18.6;NON;;;NON;;NON;;NON;;;NON;;;;;"{""coordinates"": [2.37216992407282, 48.844681650615335], ""type"": ""Point""}";48.844681650615335, 2.37216992407282
75112-P-017;PICPUS NATION;75112;65 m boulevard de picpus, 75012, Paris;https://fr.parkindigo.com/parking/paris-75012/picpus-nation-75120100;tous;0;914;0;16;2;0;0;22;32;0;190;6,62053E+13;239.914.441;4.884.715.454;tarif_special;3.6;7.2;10.8;14.4;32.4;127.0;139.0;ouvrage;autre entree = 65 M boulevard de Picpus, 75012, Paris,tarif PMR = 1,80 euros;17-E-A,17-E-B;65 M BOULEVARD DE PICPUS,77 M BOULEVARD DE PICPUS;12;INDIGO;146286047;24h / 24;OUI;2023-04-01T04:00:00+02:00;139.0;1445.0;NON;;;OUI;1329.0;2023-01-01T02:00:00+01:00;0.9;1.8;5.4;25.2;28.8;32.4;32.4;32.4;32.4;69.0;198.0;722.0;2023-06-01T04:00:00+02:00;69.0;198.0;722.0;1.25;48.0;138.0;505.0;10.0;655905.41 | 655976.688;6860957.772 | 6860888.716;11E,11F,11G,11H,11J,11K,11L,12E,12G,12H,12J,12M,12N,12P,12R,20E,20F;0.35;0.65;11.25;NON;;;NON;;NON;;NON;;127.0;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.3991444084208546, 48.84715453724537], ""type"": ""Point""}";48.84715453724537, 2.3991444084208546
75113-P-119;CHARLETY THOMIRE;75113;2 rue thomire, 75013, Paris;https://www.saemes.fr/fr/parking/parking-charlety-thomire;abonnés;0;883;0;26;0;0;0;0;24;0;190;3,17033E+13;234.815.367;4.881.978.937;tarif_special;;;;;;;102.0;ouvrage;;119-M-A;2 RUE THOMIRE;13;SAEMES;144829999;POUR ABONNES;OUI;1900-01-01T01:09:21+01:00;102.0;1020.0;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;46.0;;;2023-06-01T04:00:00+02:00;;;;;41.0;;410.0;;652138.35;6.857.944.751;;;;;NON;;;NON;;NON;;NON;;;NON;;;;;"{""coordinates"": [2.3481536737525515, 48.819789367241626], ""type"": ""Point""}";48.819789367241626, 2.3481536737525515
75108-P-020;GEORGE V;75108;113 avenue des champs elysees, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/george-v-75082400;tous;0;1106;0;21;26;68;0;3;50;0;190;6,42021E+13;229.949.965;4.887.215.419;tarif_special;5.2;10.4;15.6;20.8;46.8;216.0;270.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,autre entree = 32 ter avenue George V, 75008, Paris,tarif PMR = 2,60 euros;20-E-A,20-E-B;113 AVENUE DES CHAMPS ELYSEES,32 TER AVENUE GEORGE V;8;INDIGO;147200268;24h / 24;OUI;2023-05-01T04:00:00+02:00;270.0;2808.0;OUI;1684.5;2246.0;NON;;2023-02-01T02:00:00+01:00;1.3;2.6;7.8;36.4;41.6;46.8;46.8;46.8;46.8;135.0;384.0;1404.0;2023-06-01T04:00:00+02:00;135.0;384.0;1404.0;1.8;94.0;267.0;982.0;10.0;648617.685 | 648743.295;6863797.765 | 6863413.794;8E,8F,8G,8H,8J,16E,16F,16G,16H,16I,16J,17E;0.45;0.9;16.2;OUI;585.0;780.0;NON;;NON;;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.2994996492551736, 48.87215419037468], ""type"": ""Point""}";48.87215419037468, 2.2994996492551736
75112-P-129;BERCY SEINE VEHICULES LEGERS;75112;180 quai de bercy, 75012, Paris;https://www.saemes.fr/fr/parking/parking-bercy-seine;tous;0;300;40;14;2;10;0;0;10;0;190;3,17033E+13;238.083.038;4.883.505.677;;4.1;8.2;12.3;16.4;36.9;123.2;176.0;ouvrage;;129-E-A;180 QUAI DE BERCY;12;SAEMES;143074858;24h / 24;OUI;2023-01-01T02:00:00+01:00;176.0;1760.0;NON;;;OUI;1232.0;2023-01-01T02:00:00+01:00;1.05;2.1;6.2;28.7;32.8;36.9;36.9;36.9;36.9;;;;2023-06-01T04:00:00+02:00;88.0;233.0;880.0;1.4;70.4;186.0;704.0;18.0;654550.89;6.859.623.003;12F,12G,12J,12K,12L,13K,13P,13R,13S,;0.35;0.7;12.6;NON;;;OUI;530.0;NON;;OUI;75.0;123.2;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.3808303836905584, 48.83505676516049], ""type"": ""Point""}";48.83505676516049, 2.3808303836905584
