City Name,Zone Name,Ward Name,Ward No.,Length of Roads (in km),Length of Tar Roads (in km),Length of Concrete Roads (in km),Length of Roads with footpaths on both sides (in km),Length of Roads with footpaths on one side (in km)
Agra ,NORTH,Bhood ka Bag,87,8.65,NA,NA,NA,NA
Agra ,SOUTH,Hajjupura,88,5.075,NA,NA,NA,NA
Agra ,WEST,Rammohan Nagar,89,18.495,NA,NA,NA,NA
Agra ,NORTH,Balkeshwar,90,9.585,NA,NA,NA,NA
Agra ,EAST,Rawatpara,91,7.785,NA,NA,NA,NA
Agra ,CENTRAL,Wajirpura,92,20.69,NA,NA,NA,NA
Agra ,NORTH,Kamla Nagar,93,11.915,NA,NA,NA,NA
Agra ,NORTH,Bagh Farzana,94,12.624,NA,NA,NA,NA
Agra ,EAST,Dhankot,95,10.39,NA,NA,NA,NA
Agra ,NORTH,Maharshipuram,96,14.436,NA,NA,NA,NA
Agra ,SOUTH,Gover chawki,97,17.68,NA,NA,NA,NA
Agra ,SOUTH,Vibhav Nagar,98,21.925,NA,NA,NA,NA
Agra ,EAST,Pipal Mandi,99,7.32,NA,NA,NA,NA
Agra ,EAST,Nai ki Mandi,100,11.3,NA,NA,NA,NA
