?ID;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;UBICACION;USO;MODELO
530402;135;PORTAZGO;13;PUENTE DE VALLECAS;OPERATIVO;445017,72;4470827,56;40,38622798;-3,64778675;CALLE;TANGER;2;28018;En zona canina Parque C/ Tánger, 2 cv C/Guillermo Pingarrón;11098053;;FUE_13_0090;ZV;MASCOTAS;BEBEDERO CANINO
530413;132;SAN DIEGO;13;PUENTE DE VALLECAS;OPERATIVO;443309,79;4470610,27;40,38415604;-3,66788852;CALLE;DOCTOR BELLIDO;23;28018;Calle  Doctor Bellido con Puerto de la Morcuera  (Zona canina);31018137;;FUE_13_0106;ZV;MASCOTAS;BEBEDERO CANINO
530455;145;FONTARRON;14;MORATALAZ;OPERATIVO;444606,66;4472971,68;40,40551627;-3,65281598;AVENIDA;MORATALAZ;60;28030;JUNTO ÁREA CANINA;20152930;2022-06-10;FUE_14_0078;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
530660;127;PRADOLONGO;12;USERA;OPERATIVO;439838,69;4469562,25;40,37447152;-3,70868103;PARQUE;PRADOLONGO;;28041;JUNTO FUENTE CIRCULAR PARQUE PRADOLONGO;31007157;2023-06-19;FUE_12_0024;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
530661;127;PRADOLONGO;12;USERA;OPERATIVO;440458,38;4469989,17;40,37836195;-3,70142168;CALLE;DOCTOR TOLOSA LATOUR;3;28041;PARQUE DE PRADOLONGO;31051199;2023-07-05;FUE_12_0019;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
530420;133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;OPERATIVO;444474,61;4469775,43;40,37671372;-3,65409346;CALLE;PUERTO DE BALBARAN;135;28018;Parque Novecento (Zona canina);20102235;;FUE_13_0117;ZV;MASCOTAS;BEBEDERO CANINO
530586;117;ABRANTES;11;CARABANCHEL;OPERATIVO;438279,05;4469748,92;40,3760391;-3,72706978;PARQUE;EMPERATRIZ MARIA DE AUSTRIA;18;28025;Junto área canina;31001252;;FUE_11_0064;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
5842993;133;PALOMERAS BAJAS;13;PUENTE DE VALLECAS;OPERATIVO;443974,08;4470669,94;40,38473852;-3,66006801;CALLE;PUERTO DE COSTABONA;9;28018;EN PARQUE PAYASO FOFO FRENTE 9;20099405;2017-04-26;FUE_13_0163;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
5849302;104;ALUCHE;10;LATINA;OPERATIVO;436182,76;4471950,12;40,39571056;-3,75198249;CALLE;DUQUESA DE PARCENT;16;28047;ÁREA CANINA, PARQUE CERRO ALMODOVAR;11063809;;FUE_10_0118;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
6542299;144;MEDIA LEGUA;14;MORATALAZ;OPERATIVO;443990,08;4473215,38;40,40767041;-3,66010343;AVENIDA;MORATALAZ;21;28030;junto zona infantil;11101928;2020-03-11;FUE_14_0105;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
7130547;211;ALAMEDA DE OSUNA;21;BARAJAS;OPERATIVO;449503,78;4478163,55;40,45259941;-3,59551845;CALLE;CATAMARAN;9;28042;Parque Biosaludable Metro El Capricho;20047353;2020-07-15;FUE_21_0065;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
7131439;123;SAN FERMIN;12;USERA;OPERATIVO;441489,47;4468737,86;40,36716247;-3,68916106;CALLE;CORINDON;10;28041;JUNTO CASETA JARDINEROS;31005121;2020-08-07;FUE_12_0084;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
7144389;131;ENTREVIAS;13;PUENTE DE VALLECAS;OPERATIVO;442885,88;4469585,43;40,37489473;-3,67279059;RONDA;SUR;6 D;28053;JUNTO ÁREA CANINA;31060375;2020-10-14;FUE_13_0170;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
7180278;64;ALMENARA;6;TETUAN;OPERATIVO;441136,89;4479934,41;40,46800165;-3,69434977;CALLE;COSTA VERDE;3;28029;frente al Nº 3;31017668;2020-10-15;FUE_06_0096;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
7412031;103;LUCERO;10;LATINA;OPERATIVO;436312,87;4472135,67;40,39739203;-3,75046804;CALLE;CUART DE POBLET;117;28047;DENTRO DEL PARQUE DE LA CUÑA VERDE DENTRO DE ÁREA CANINA;11063849;;FUE_10_0123;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
5541618;51;EL VISO;5;CHAMARTIN;OPERATIVO;442386,49;4477150,59;40,44301133;-3,67935784;CALLE;FELIPE CAMPOS;6;28002;CV C/FRANCISCO CAMPOS, JUNTO PISTAS PETANCA;11021822;2020-02-17;FUE_05_0081;ZV;PERSONAS_Y_MASCOTAS;MIXTA TERRIER
5815155;201;SIMANCAS;20;SAN BLAS - CANILLEJAS;OPERATIVO;447991,56;4476180,03;40,43463744;-3,61318921;AVENIDA;ARCENTALES;29;28022;EN PARQUE INTERIOR AREA CANINA;20128779;;FUE_20_0125;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
5843625;24;LEGAZPI;2;ARGANZUELA;OPERATIVO;441802,34;4471478,75;40,39187585;-3,68572651;AVENIDA;PLANETARIO;18;28045;ÁREA CANINA, PASEO DE LAS CATALPAS JUNTO A LA FARONA 594, JUNTO A ÁREA CANINA;20141825;;FUE_02_0064;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
5844560;43;FUENTE DEL BERRO;4;SALAMANCA;NO OPERATIVO;443949,87;4475404,41;40,42738769;-3,66077019;CALLE;SANCHO DAVILA;17;28028;ÁREA CANINA, PARQUE SANCHO DAVILA;11016686;;FUE_04_0051;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
5845865;93;CIUDAD UNIVERSITARIA;9;MONCLOA - ARAVACA;OPERATIVO;439416,091;4478137,69;40,45169239;-3,71447536;CALLE;RECTOR ROYO-VILLANOVA;10 C;28040;ÁREA CANINA, PARQUE JUAN XXIII;20107953;;FUE_09_0132;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
