ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;UBICACION;USO;MODELO
"9046770";"Fuentes de beber";"042";"GOYA";"04";"SALAMANCA";"OPERATIVO";"442669.38";"4475062.97";"ETRS89";40.42422456;-3.67583401;"AVENIDA";"FELIPE II";"12";"28009";"CV C/NARVAEZ JUNTO SERVICIO PÚBLICO";"11014828";"2022-10-25 00:00:00.0";"FUE_04_0061";"FUE22";"VP";"PERSONAS";"FUENTE_ACCESIBLE"
"9046969";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"441633.000";"4474448.000";"ETRS89";40.41861255;-3.68799396;"AVENIDA";"MEJICO";"2";"28009";"Plaza Gervás";"31035299";;"FUEP_03_01_0001";"6";"ZV";"PERSONAS";"OTRO"
"9046974";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442105.00";"4474675.00";"ETRS89";40.42069045;-3.68245135;"PLAZA";"INDEPENDENCIA";"7";"28001";"Junto a área infantil AI_000015";"31026163";;"FUEP_03_01_0006";"6";"ZV";"PERSONAS";"OTRO"
"9046975";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442288.00";"4474582.00";"ETRS89";40.41986537;-3.68028590;"PLAZA";"INDEPENDENCIA";"7";"28001";"Entre Glorieta de Sevilla y Pº de El Salvador";"31026163";;"FUEP_03_01_0007";"6";"ZV";"PERSONAS";"OTRO"
"9046976";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"442211.00";"4474498.00";"ETRS89";40.41910332;-3.68118585;"PLAZA";"INDEPENDENCIA";"7";"28001";"Avda. de Perú";"31026163";;"FUEP_03_01_0008";"6";"ZV";"PERSONAS";"OTRO"
"9046978";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"441579.00";"4474203.00";"ETRS89";40.41640168;-3.68860793;"PLAZA";"INDEPENDENCIA";"7";"28001";"Cerca Puerta de España";"31026163";;"FUEP_03_01_0010";"6";"ZV";"PERSONAS";"OTRO"
"9046979";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"441596.00";"4473929.00";"ETRS89";40.41393454;-3.68838241;"PLAZA";"INDEPENDENCIA";"7";"28001";"Pº del Marqués de Pontejos";"31026163";;"FUEP_03_01_0011";"6";"ZV";"PERSONAS";"OTRO"
"9046980";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"441726.00";"4473677.00";"ETRS89";40.41167351;-3.68682718;"PLAZA";"INDEPENDENCIA";"7";"28001";"Bosque del recuerdo";"31026163";;"FUEP_03_01_0012";"6";"ZV";"PERSONAS";"OTRO"
"9046981";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"441670.00";"4473615.00";"ETRS89";40.41111106;-3.68748147;"PLAZA";"INDEPENDENCIA";"7";"28001";"Cerca de la Ría del Cementerio";"31026163";;"FUEP_03_01_0013";"6";"ZV";"PERSONAS";"OTRO"
"9046982";"Fuentes de beber";"035";"LOS JERONIMOS";"03";"RETIRO";"OPERATIVO";"441774.00";"4473470.00";"ETRS89";40.40981211;-3.68624254;"PLAZA";"INDEPENDENCIA";"7";"28001";"Pinar de San Blas";"31026163";;"FUEP_03_01_0014";"6";"ZV";"PERSONAS";"OTRO"
