ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TIPO;MODELO
"517207";"Papelera";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"444168.35";"4483193.48";"ETRS89";40.49757009;-3.65887996;"AVENIDA";"NICETO ALCALA ZAMORA";"91 H";"28050";"AVENIDA DE NICETO ALCALA ZAMORA,91 H";"31050565";"2011-02-23 00:00:00.0";"269180";"5PPL";"VIARIO";"50_LTS_EX"
"517214";"Papelera";"158";"ATALAYA";"15";"CIUDAD LINEAL";"OPERATIVO";"443555.38";"4479786.84";"ETRS89";40.46684012;-3.66580998;"CALLE";"ARTURO SORIA";"248";"28033";"CALLE DE ARTURO SORIA,248";"11112322";"2011-02-23 00:00:00.0";"269188";"5PPL";"VIARIO";"50_LTS_EX"
"517460";"Papelera";"114";"VISTA ALEGRE";"11";"CARABANCHEL";"OPERATIVO";"436853.99";"4471105.18";"ETRS89";40.38815014;-3.74399000;"CALLE";"OCA";"104";"28025";"CALLE DE LA OCA,104";"11074396";"2011-02-24 00:00:00.0";"269442";"5PPL";"VIARIO";"50_LTS_EX"
"517461";"Papelera";"074";"ALMAGRO";"07";"CHAMBERI";"OPERATIVO";"441441.46";"4476439.13";"ETRS89";40.43653615;-3.69043496;"CALLE";"GARCIA DE PAREDES";"96";"28010";"CALLE GARCIA DE PAREDES,96";"20014404";"2011-02-24 00:00:00.0";"269443";"5PPL";"VIARIO";"50_LTS_EX"
"517464";"Papelera";"155";"SAN PASCUAL";"15";"CIUDAD LINEAL";"OPERATIVO";"444682.43";"4477533.88";"ETRS89";40.44662013;-3.65232002;"CALLE";"AGASTIA";"55";"28027";"CALLE DE AGASTIA,55";"20136965";"2011-02-24 00:00:00.0";"269446";"5PPL";"VIARIO";"50_LTS_EX"
"517465";"Papelera";"135";"PORTAZGO";"13";"PUENTE DE VALLECAS";"OPERATIVO";"444901.18";"4471235.26";"ETRS89";40.38989310;-3.64919498;"CALLE";"RAMIREZ TOME";"13";"28038";"CALLE DE RAMIREZ TOME,13";"11098216";"2011-02-24 00:00:00.0";"269447";"5PPL";"VIARIO";"50_LTS_EX"
"517466";"Papelera";"114";"VISTA ALEGRE";"11";"CARABANCHEL";"OPERATIVO";"436757.22";"4471003.87";"ETRS89";40.38723015;-3.74512000;"CALLE";"GUABAIRO";"1";"28047";"CALLE DEL GUABAIRO,1";"11074734";"2011-02-24 00:00:00.0";"269448";"5PPL";"VIARIO";"50_LTS_EX"
"517467";"Papelera";"114";"VISTA ALEGRE";"11";"CARABANCHEL";"OPERATIVO";"436697.37";"4470852.29";"ETRS89";40.38586011;-3.74581003;"CALLE";"GUABAIRO";"19";"28047";"CALLE DEL GUABAIRO,19";"11074872";"2018-08-06 00:00:00.0";"303132";"5PPL";"VIARIO";"50_LTS_EX"
"517468";"Papelera";"114";"VISTA ALEGRE";"11";"CARABANCHEL";"OPERATIVO";"436563.68";"4470701.34";"ETRS89";40.38449012;-3.74736996;"AVENIDA";"NUESTRA SEÑORA DE FATIMA";"30";"28047";"AVENIDA DE NUESTRA SEÑORA DE FATIMA,30";"11074906";"2011-02-24 00:00:00.0";"269450";"5PPL";"VIARIO";"50_LTS_EX"
"517470";"Papelera";"135";"PORTAZGO";"13";"PUENTE DE VALLECAS";"OPERATIVO";"444969.97";"4471345.10";"ETRS89";40.39088715;-3.64839401;"CALLE";"ADRADA DE HAZA";"7";"28038";"CALLE DE ADRADA DE HAZA,7";"11098083";"2011-02-24 00:00:00.0";"269452";"5PPL";"VIARIO";"50_LTS_EX"
