ID,GEO_ID,Address_ID,COD_BARRIO,BARRIO,links_barrio,COD_DISTRITO,DISTRITO,links_district,ESTADO,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,CODIGO_INTERNO,MODELO
518073,518073_GEO,518073_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.49216816,-3.69741504,CALLE,SABADELL,199,28034,270082,50_LTS_EX
518076,518076_GEO,518076_Address_ID,117,Abrantes,https://wikidata.org/entity/Q3773949,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.37729115,-3.73103298,PLAZA,LAS MENINAS,8,28025,270086,50_LTS_EX
518065,518065_GEO,518065_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.49659311,-3.69749803,CALLE,CALDAS DE ESTRACH,14,28034,270074,50_LTS_EX
518078,518078_GEO,518078_Address_ID,117,Abrantes,https://wikidata.org/entity/Q3773949,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.37430013,-3.73387,CALLE,VIA LUSITANA,120,28025,270088,50_LTS_EX
518081,518081_GEO,518081_Address_ID,116,Buenavista,https://wikidata.org/entity/Q953929,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.36668912,-3.74539102,CALLE,PESO HISPANO,14,28054,270091,50_LTS_EX
518082,518082_GEO,518082_Address_ID,055,Nueva España,https://wikidata.org/entity/Q10338128,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.46329541,-3.68899729,PASEO,CASTELLANA,210,28046,270092,50_LTS_EX
518084,518084_GEO,518084_Address_ID,117,Abrantes,https://wikidata.org/entity/Q3773949,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38094013,-3.73043002,CALLE,ALFONSO MARTINEZ CONDE,3,28025,270095,50_LTS_EX
518087,518087_GEO,518087_Address_ID,055,Nueva España,https://wikidata.org/entity/Q10338128,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.4644499,-3.67980923,PASEO,LA HABANA,165,28036,270098,50_LTS_EX
518089,518089_GEO,518089_Address_ID,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38273915,-3.73313599,CALLE,CLARA CAMPOAMOR,41,28025,270100,50_LTS_EX
518090,518090_GEO,518090_Address_ID,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38096811,-3.73287105,CALLE,CLARA CAMPOAMOR,63 B,28025,270101,50_LTS_EX
518096,518096_GEO,518096_Address_ID,117,Abrantes,https://wikidata.org/entity/Q3773949,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.3760201,-3.73433998,AVENIDA,ABRANTES,122,28025,270108,50_LTS_EX
518093,518093_GEO,518093_Address_ID,117,Abrantes,https://wikidata.org/entity/Q3773949,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.37800908,-3.73187395,AVENIDA,ABRANTES,98,28025,270104,50_LTS_EX
518098,518098_GEO,518098_Address_ID,117,Abrantes,https://wikidata.org/entity/Q3773949,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.37890112,-3.73373699,CALLE,CARCASTILLO,3,28025,270110,50_LTS_EX
518099,518099_GEO,518099_Address_ID,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.37510012,-3.73547003,AVENIDA,ABRANTES,299,28025,270112,50_LTS_EX
518100,518100_GEO,518100_Address_ID,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.37427614,-3.73952501,CALLE,ALBOREA,7,28025,270113,50_LTS_EX
518102,518102_GEO,518102_Address_ID,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.37642408,-3.73924398,CALLE,BELZUNEGUI,18,28025,270115,50_LTS_EX
518103,518103_GEO,518103_Address_ID,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.37710015,-3.73916997,CALLE,BELZUNEGUI,14,28025,270116,50_LTS_EX
518107,518107_GEO,518107_Address_ID,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.37708614,-3.74117596,CALLE,ALISEDA,3,28025,270120,50_LTS_EX
518106,518106_GEO,518106_Address_ID,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.37686614,-3.74148395,CALLE,ALISEDA,5,28025,270119,50_LTS_EX
518113,518113_GEO,518113_Address_ID,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.3854231,-3.73631699,CALLE,GENERAL RICARDOS,198,28025,270126,50_LTS_EX
518114,518114_GEO,518114_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.4908231,-3.69382798,AVENIDA,CARDENAL HERRERA ORIA,100,28034,270127,50_LTS_EX
518116,518116_GEO,518116_Address_ID,053,Ciudad Jardín,https://wikidata.org/entity/Q3773744,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.44933015,-3.67425003,CALLE,SAN ERNESTO,18,28002,270129,50_LTS_EX
518115,518115_GEO,518115_Address_ID,114,Vista Alegre,https://wikidata.org/entity/Q3813741,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38501012,-3.73979001,PASEO,MARCELINO CAMACHO,2,28025,304612,50_LTS_EX
518119,518119_GEO,518119_Address_ID,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38556008,-3.73410003,CALLE,CLARA CAMPOAMOR,7,28025,270132,50_LTS_EX
518121,518121_GEO,518121_Address_ID,051,El Viso,https://wikidata.org/entity/Q4778,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.44966011,-3.67868998,CALLE,RODRIGUEZ MARIN,78,28002,270134,50_LTS_EX
518124,518124_GEO,518124_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.49617412,-3.68864801,CALLE,JULIO MONTERO,1,28034,270137,50_LTS_EX
518125,518125_GEO,518125_Address_ID,117,Abrantes,https://wikidata.org/entity/Q3773949,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38352415,-3.72929702,CALLE,CAMINO VIEJO DE LEGANES,147,28025,270138,50_LTS_EX
518128,518128_GEO,518128_Address_ID,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38601609,-3.73111894,GLORIETA,RUFINO NOVALVOS,4,28025,270141,50_LTS_EX
518133,518133_GEO,518133_Address_ID,112,Opañel,https://wikidata.org/entity/Q3813756,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38565009,-3.72462996,AVENIDA,OPORTO,35,28019,270146,50_LTS_EX
518135,518135_GEO,518135_Address_ID,112,Opañel,https://wikidata.org/entity/Q3813756,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38639816,-3.72325504,CALLE,PORTALEGRE,69,28019,270148,50_LTS_EX
518134,518134_GEO,518134_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.49771017,-3.68812995,CALLE,AFUERAS A VALVERDE,17,28034,270147,50_LTS_EX
518136,518136_GEO,518136_Address_ID,112,Opañel,https://wikidata.org/entity/Q3813756,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38625008,-3.71892996,CALLE,SANTA LUCRECIA,9,28019,270149,50_LTS_EX
518139,518139_GEO,518139_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.4957931,-3.686625,CALLE,ISLA TIMOR,13,28034,270153,50_LTS_EX
518140,518140_GEO,518140_Address_ID,112,Opañel,https://wikidata.org/entity/Q3813756,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38530314,-3.72128796,AVENIDA,OPORTO,18,28019,270154,50_LTS_EX
518141,518141_GEO,518141_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.4948091,-3.68585796,PLAZA,MARTIRES,16,28034,270155,50_LTS_EX
518142,518142_GEO,518142_Address_ID,117,Abrantes,https://wikidata.org/entity/Q3773949,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38499016,-3.72152002,CALLE,BRAGANZA,1,28025,270156,50_LTS_EX
518146,518146_GEO,518146_Address_ID,117,Abrantes,https://wikidata.org/entity/Q3773949,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38536014,-3.72620003,PLAZA,SAN VICENTE DE PAUL,1,28025,270160,50_LTS_EX
518147,518147_GEO,518147_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.49927115,-3.69153998,CALLE,CUEVA DE MONTESINOS,39,28034,270161,50_LTS_EX
518148,518148_GEO,518148_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50055011,-3.69042995,PLAZA,TRES OLIVOS,1,28034,270163,50_LTS_EX
518155,518155_GEO,518155_Address_ID,127,Pradolongo,https://wikidata.org/entity/Q10352360,12,Usera,https://wikidata.org/entity/Q953368,OPERATIVO,40.37658011,-3.71195003,AVENIDA,RAFAELA YBARRA,85,28026,270170,50_LTS_EX
518154,518154_GEO,518154_Address_ID,117,Abrantes,https://wikidata.org/entity/Q3773949,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38415017,-3.71845004,PLAZA,ELIPTICA,3,28026,270169,50_LTS_EX
518156,518156_GEO,518156_Address_ID,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,11,Carabanchel,https://wikidata.org/entity/Q1001991,OPERATIVO,40.38811009,-3.73217003,CALLE,GENERAL RICARDOS,157,28025,270171,50_LTS_EX
518159,518159_GEO,518159_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50428915,-3.69047903,CALLE,CABALLERO DE LOS LEONES,23,28034,270174,50_LTS_EX
518161,518161_GEO,518161_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50205811,-3.69267397,CALLE,ALONSO QUIJANO,52,28034,270176,50_LTS_EX
518162,518162_GEO,518162_Address_ID,086,Valverde,https://wikidata.org/entity/Q31132,08,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OPERATIVO,40.50207212,-3.69227497,CALLE,ALONSO QUIJANO,50,28034,270177,50_LTS_EX
